,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,19.93041494708836,2.0053674530814534,2.0715948158932713,2.082284783830448,2.0053674530814534,2.0715948158932713,2.082284783830448,2.561615388369054,2.6411981514364515,2.5809790702118147,0.6555012431655445,0.6209425304012626,0.5930129460469622
1,2,0.01,6.6786881558927265,1.802899054938888,1.8939347353178202,1.883368262222835,1.802899054938888,1.8939347353178202,1.883368262222835,2.312695801341406,2.456991140664553,2.3040307035390803,0.7192001730038033,0.6719724872880994,0.6756692296145614
2,3,0.01,6.153297158794366,2.0322702271707103,2.1540880276984775,1.883368262222835,2.0322702271707103,2.1540880276984775,2.0723455876720194,2.611799933651092,2.8018095621014827,2.617317317371922,0.6418708886897472,0.5734398149714144,0.5814721267373576
3,4,0.01,5.904867878156208,1.6671693774470169,1.7781058758804478,1.755453536705095,1.6671693774470169,1.7781058758804478,1.755453536705095,2.1648591377711517,2.3495827114892927,2.1802987523032984,0.7539524198176513,0.7000253427825169,0.7095685508897809
4,5,0.01,6.737650532560159,2.2285465300657386,2.4828239544150756,1.755453536705095,2.2285465300657386,2.4828239544150756,2.114729782756494,2.785477971431519,3.014951985488554,2.662693591102373,0.5926579276710551,0.5060717225943343,0.5668343446318008
5,6,0.01,5.469417281692887,2.2057986678262513,2.3901122206265164,1.755453536705095,2.2057986678262513,2.3901122206265164,2.112668820789882,2.731455724087144,2.9465001326449625,2.633634471975423,0.6083048967210473,0.5282455344379938,0.5762373991201368
6,7,0.01,5.840864980228451,1.699934347439976,1.7010016601110243,1.7378229060951544,1.699934347439976,1.7010016601110243,1.7378229060951544,2.2063319629343443,2.3324636567272106,2.1808218602786167,0.7444349123472701,0.7043806478586017,0.7094291706945772
7,8,0.01,5.7134572263704175,2.117950777327624,2.3335382754040745,1.7378229060951544,2.117950777327624,2.3335382754040745,2.0260025956192793,2.685480101702169,2.9485404937130246,2.6337450154844406,0.6213798793237173,0.5275919571972875,0.5762018245645152
8,9,0.01,5.052833758031396,1.735403554823893,1.8917251468933736,1.7378229060951544,1.735403554823893,1.8917251468933736,1.7173063584736414,2.2188690032025313,2.4719658427073976,2.20371623625274,0.7415222654941315,0.6679618230307622,0.7032962932267118
9,10,0.01,5.666822497478723,1.5559704177411764,1.6376058182765527,1.5413776100898275,1.5559704177411764,1.6376058182765527,1.5413776100898275,2.0078171876571993,2.190722579986749,1.939202179232993,0.7883549345418327,0.7392178514906438,0.7702487884047668
10,11,0.01,4.933388439293618,1.4488846160083837,1.6099118203231968,1.5009188311440604,1.4488846160083837,1.6099118203231968,1.5009188311440604,1.9124908234508993,2.1768851232102704,1.90942136280768,0.8079746647550953,0.7425018502959361,0.7772512971663685
11,12,0.01,4.325914953179136,1.5686962689508133,1.7076160121209842,1.5009188311440604,1.5686962689508133,1.7076160121209842,1.5816170451592426,2.076174939579533,2.2622526205554427,2.0314272785561944,0.7736983600414526,0.7219100527014617,0.7478759996961388
12,13,0.01,4.3550593707526275,1.450090637785851,1.6157746978641785,1.5009188311440604,1.450090637785851,1.6157746978641785,1.4358814857443984,1.8967663212230303,2.1948810648801262,1.8604416424660521,0.8111193487418833,0.7382268653125474,0.7885324504124701
13,14,0.01,3.8410413707765003,1.5172093910671767,1.6578720377892564,1.5009188311440604,1.5172093910671767,1.6578720377892564,1.6229622120759926,1.9887311686621985,2.2315182273461414,2.058652616111041,0.792359544618405,0.7294148446263363,0.7410727455684949
14,15,0.01,4.627393539241283,1.7179407588778663,1.879858565084713,1.5009188311440604,1.7179407588778663,1.879858565084713,1.662283907131273,2.265523616173088,2.577552741491838,2.17884487145771,0.7305383285224092,0.6389908488494873,0.7099557564832653
15,16,0.01,3.955862296875578,1.507498520264353,1.5918409259048933,1.5648051792261553,1.507498520264353,1.5918409259048933,1.5648051792261553,1.9817264049045589,2.1684425579700424,2.0334021291854074,0.793819682487285,0.7444952759699022,0.7473855570738616
16,17,0.01,3.775882550670156,1.5643842204228073,1.7182923493926059,1.5648051792261553,1.5643842204228073,1.7182923493926059,1.594339359779747,2.0172036408563274,2.367491863215782,2.0273661999053743,0.7863714470632678,0.6954349394311552,0.7488830472611181
17,18,0.01,3.9825349206256804,1.4353227485964217,1.5672241240432583,1.4802777523897133,1.4353227485964217,1.5672241240432583,1.4802777523897133,1.859207273331185,2.096758044015349,1.8688856723219314,0.8185255740015427,0.7611090346003184,0.786608508784298
18,19,0.01,3.4341379781525796,1.2937592848341053,1.446763638368587,1.3308827451297216,1.2937592848341053,1.446763638368587,1.3308827451297216,1.708062658118009,1.9725590131107014,1.7506994929844442,0.8468322233119129,0.7885717088709062,0.812744388460807
19,20,0.01,3.459859392929322,1.3623579743586829,1.552556856391356,1.3308827451297216,1.3623579743586829,1.552556856391356,1.5267831257411413,1.7645968166584998,2.0297060943432434,1.933048324721449,0.8365252074728782,0.7761436587410618,0.7717046574050039
20,21,0.01,3.484216690675984,1.4177619220357562,1.5784472202517323,1.3308827451297216,1.4177619220357562,1.5784472202517323,1.4791752756858358,1.875796620133431,2.193590922448143,1.9377510156797388,0.81527260325992,0.7385345133007812,0.7705925192844494
21,22,0.01,3.303598531179116,1.3037509124249929,1.4318900894872921,1.4308528389249529,1.3037509124249929,1.4318900894872921,1.4308528389249529,1.7381666152824646,1.9364526645771496,1.8507971474170628,0.8413855971660278,0.796240971810804,0.7907192552327091
22,23,0.01,3.2357495445124065,1.279331417748311,1.4879358859406304,1.4308528389249529,1.279331417748311,1.4879358859406304,1.4400125462181714,1.6811491644534424,1.9825238301401293,1.8000777439491662,0.8516210442931298,0.7864301599325613,0.8020323836518984
23,24,0.01,3.5620680458666656,1.3797809070857887,1.6658011035820872,1.4308528389249529,1.3797809070857887,1.6658011035820872,1.4852663096116514,1.8280881037729106,2.191707354325567,1.9213989443099442,0.8245497234841421,0.7389833450394563,0.7744479780090447
24,25,0.01,3.4850487920360527,1.4665053203922094,1.5829777103109457,1.4308528389249529,1.4665053203922094,1.5829777103109457,1.6017102489666062,1.8851111204957323,2.1028651354690626,2.0471759110694205,0.8134334748391978,0.7597154034740837,0.743951665969327
25,26,0.01,3.488343019935667,1.4213748603733825,1.5361912053884919,1.4308528389249529,1.4213748603733825,1.5361912053884919,1.5122920420705055,1.8284432068224823,2.078114863534101,1.9510755248242448,0.8244815550197995,0.7653383137656826,0.7674267342588523
26,27,0.01,3.23674482784749,1.66232859169587,1.9229954395097555,1.4308528389249529,1.66232859169587,1.9229954395097555,1.7004601456681077,2.14308303337898,2.433595753534035,2.1823032285929203,0.758877461003183,0.6781896796609856,0.7090342841420432
27,28,0.01,3.4191830721740626,1.2857889825132465,1.5135957604831027,1.4308528389249529,1.2857889825132465,1.5135957604831027,1.4131017777384545,1.6768299306756502,2.008253545401403,1.7910852180590497,0.8523824997633438,0.7808506562132037,0.804005389803616
28,29,0.006999999999999999,2.9063707509711527,1.2152670168616333,1.3874247786925011,1.3610066516058785,1.2152670168616333,1.3874247786925011,1.3610066516058785,1.6254638624281303,1.9429045028159573,1.7391457515010433,0.8612878672308086,0.7948809485808986,0.8152078196970491
29,30,0.006999999999999999,2.887712814751235,1.2064885720275653,1.4464981371594459,1.3610066516058785,1.2064885720275653,1.4464981371594459,1.4024188506359956,1.6054743441710098,1.940777031224548,1.788410010753362,0.8646785783607703,0.795329911496316,0.8045904369412559
30,31,0.006999999999999999,2.684326585011369,1.1968506410784958,1.409097446608789,1.3610066516058785,1.1968506410784958,1.409097446608789,1.3401811232372207,1.5825098816688623,1.9354100102395428,1.6993108198691784,0.8685221259330727,0.7964603348173032,0.8235761583840442
