,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,44.99093658432565,3.311801412355157,3.3997381839555563,3.3319189061923904,3.311801412355157,3.3997381839555563,3.3319189061923904,4.196794043816663,4.286912816157238,4.306337665020882,0.0753122041700044,0.0013980899887802156,-0.1329944695941052
1,2,0.01,11.88386322063135,2.4223957820511353,2.527097888828553,2.2737504085715936,2.4223957820511353,2.527097888828553,2.2737504085715936,3.0365933134185337,3.2038614084148564,2.8474538591488354,0.5159022381395005,0.44223593272393924,0.5046353401771277
2,3,0.01,8.01402917088954,2.1660788191689386,2.153944615236263,2.080135211652639,2.1660788191689386,2.153944615236263,2.080135211652639,2.742389410539993,2.718413775919943,2.6310914400158723,0.6051628044556798,0.5984550072761805,0.5770553725818339
3,4,0.01,6.4167778092312675,1.7745318788707294,1.782034242276064,1.6575911774927257,1.7745318788707294,1.782034242276064,1.6575911774927257,2.269597020903732,2.3421955967684434,2.1071984246175957,0.7295684748391134,0.7019086250469009,0.7287170526965359
4,5,0.01,5.198537866963587,1.752798085574087,1.7841001933382958,1.6575911774927257,1.752798085574087,1.7841001933382958,1.5268675964705798,2.246649776616915,2.3587137872435813,1.997638170595564,0.7350093406833409,0.6976892567119015,0.7561934971758191
5,6,0.01,5.666721771830692,1.873493793535937,1.8858348893136094,1.6575911774927257,1.873493793535937,1.8858348893136094,1.6878917095612507,2.3924407439101048,2.57205854641015,2.1430451765875875,0.699501580646847,0.6405282302186768,0.7194086478772158
6,7,0.01,6.553864617185403,1.6937595405253985,1.8894441054039395,1.6575911774927257,1.6937595405253985,1.8894441054039395,1.5895583678265006,2.2274399449046367,2.5270933787792123,2.0459863920319927,0.7395215377749271,0.6529870601712213,0.7442491351600895
7,8,0.01,4.638086991349932,1.5678081246776006,1.7458697520580488,1.5275079011917114,1.5678081246776006,1.7458697520580488,1.5275079011917114,1.9999449025640754,2.277870351049121,1.877915004973246,0.790011324384015,0.7180571447801267,0.7845415687718138
8,9,0.01,4.4270070366317364,1.6322991346501354,1.779449116323412,1.5275079011917114,1.6322991346501354,1.779449116323412,1.6061019812311446,2.168012158889272,2.4077410554222647,2.056313510526828,0.7532351831559193,0.6849912290864425,0.7416608138011896
9,10,0.01,4.536104005043064,1.9435991431630109,2.0869579044813964,1.5275079011917114,1.9435991431630109,2.0869579044813964,1.8900869172446582,2.4158790470237097,2.6164619705592567,2.3417551065698894,0.6935848837396212,0.628009419009049,0.6649616037417199
10,11,0.01,4.769609273207363,1.7096589756226341,1.7651956646712785,1.5275079011917114,1.7096589756226341,1.7651956646712785,1.5765447519263442,2.197175912222656,2.361611991698906,1.97349278579603,0.7465516487504327,0.696945888334169,0.7620516401833523
