,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,37.59583823008651,2.0797903598235368,2.389058943876286,2.0245867335066503,2.0797903598235368,2.389058943876286,2.0245867335066503,2.7165081538411395,3.0973349758873194,2.663730482137872,0.6125801774228959,0.47870994064937955,0.5664969171198244
1,2,0.01,5.58609995477538,1.6312811896061392,1.66751894877129,1.5708629403795515,1.6312811896061392,1.66751894877129,1.5708629403795515,2.197072510394993,2.443855497576552,2.129298451909432,0.7465755033775694,0.6754705334944355,0.7229968511666934
2,3,0.01,3.632795437376087,1.1579202269619677,1.2248093012681942,1.2057194539478846,1.1579202269619677,1.2248093012681942,1.2057194539478846,1.6043268001549191,1.8163545663028338,1.7227500218531375,0.8648719564622764,0.8207313491764181,0.8186756382543413
3,4,0.01,2.968174237659824,1.1107368624662082,1.1572327073087398,1.1754484200964168,1.1107368624662082,1.1572327073087398,1.1754484200964168,1.5367298156109641,1.7928520368882765,1.6922330378309196,0.8760190821808472,0.8253405904063005,0.8250427400486127
4,5,0.01,2.708244569652266,1.586806997321857,1.7695018704404537,1.1754484200964168,1.586806997321857,1.7695018704404537,1.6538394446275673,1.9883394452522856,2.1895755862393345,2.0831600904370413,0.7924413350764631,0.7394908547387555,0.7348711899684024
5,6,0.01,3.071404970679899,1.1434574152463204,1.3937457677015324,1.1754484200964168,1.1434574152463204,1.3937457677015324,1.29405058038478,1.5324772334360137,1.928924008461511,1.7143889746062717,0.8767043158806962,0.797822264895671,0.82043141544174
6,7,0.01,2.554265076025373,1.2785418460058262,1.3226293718691953,1.1754484200964168,1.2785418460058262,1.3226293718691953,1.2311095534538736,1.6830554186221627,1.916038433315765,1.7144039576565018,0.8512843598757649,0.8005144133192973,0.8204282767177762
7,8,0.01,2.339708060198437,1.1027110606795638,1.2421142587956695,1.1754484200964168,1.1027110606795638,1.2421142587956695,1.1798187676741152,1.5079884605609764,1.8181299510237496,1.6445217430995887,0.8806133273338156,0.8203807277994479,0.8347692519542932
8,9,0.01,2.1227502349713863,1.0623760945381993,1.1478058812544518,1.1519588560474163,1.0623760945381993,1.1478058812544518,1.1519588560474163,1.413685908671787,1.6381404443213556,1.562105557686003,0.8950782150860883,0.8541839412649228,0.8509155373483731
9,10,0.01,2.226703146902046,1.1002094916372476,1.1307199161077284,1.1621453251157488,1.1002094916372476,1.1307199161077284,1.1621453251157488,1.4803226370970655,1.782382513722321,1.6437427354467384,0.8849537219992207,0.8273745135152948,0.8349257540272574
