,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,21.35681828521503,2.3702460887268253,2.506437613792026,2.4065676088235817,2.3702460887268253,2.506437613792026,2.4065676088235817,2.8654401412468955,3.0272082328588437,2.9494541303093693,0.5689352670181144,0.5020477701006023,0.46851021482842925
1,2,0.01,5.9433520830971505,1.4187466265991397,1.4813360504268371,1.415782411487735,1.4187466265991397,1.4813360504268371,1.415782411487735,1.9156804525501434,2.008756994827064,2.0022042347193127,0.8073336155631731,0.7807407652674951,0.7550776710753527
2,3,0.01,4.149377376664198,1.429589269478197,1.4639717696868266,1.4198770425757583,1.429589269478197,1.4639717696868266,1.4198770425757583,1.8766682035215496,1.9522277285825276,2.0180966608700097,0.8151008972935829,0.7929076559388936,0.7511741152925722
3,4,0.01,3.6214238670902827,1.4752108282819343,1.537238320124518,1.4198770425757583,1.4752108282819343,1.537238320124518,1.4232709870046498,1.9133404022183818,1.9561589257071021,1.9575359803684698,0.8078040214439464,0.7920727732945024,0.7658839781397182
4,5,0.01,3.7164417775533254,1.32212477420949,1.2955738539548265,1.342373716587923,1.32212477420949,1.2955738539548265,1.342373716587923,1.7680773523782252,1.7681700191080356,1.840655710341774,0.835879687788756,0.8301165254813158,0.7930064779513101
5,6,0.01,2.9143350952775644,1.2846134541198544,1.2690967137051612,1.3753524726750899,1.2846134541198544,1.2690967137051612,1.3753524726750899,1.7148523987522943,1.816774970609949,1.9409205296111016,0.845612084846916,0.8206483543292955,0.7698414373807276
6,7,0.01,3.3777753348218837,1.7117558365535797,1.895323288809393,1.3753524726750899,1.7117558365535797,1.895323288809393,1.6697609497576344,2.226760676972125,2.365292130033719,2.2363289922032568,0.7396803817324387,0.6960006441212498,0.6944494868183655
7,8,0.01,3.964739653339888,1.3152000742534375,1.413530692611773,1.3753524726750899,1.3152000742534375,1.413530692611773,1.421150810864507,1.699906695658306,1.9236630875985246,1.9418595302176829,0.8482914767017913,0.7989235945281112,0.7696186860574535
8,9,0.01,2.9647962947495103,1.2867170748376815,1.3824081248843794,1.3753524726750899,1.2867170748376815,1.3824081248843794,1.481069724170529,1.7232243154911908,1.9114134939644811,2.023404176941598,0.8441009602475718,0.8014762888495066,0.7498635893564364
9,10,0.01,2.9994255701700845,1.3750142189808663,1.4634842565379191,1.3753524726750899,1.3750142189808663,1.4634842565379191,1.4902624122950496,1.8574535104529362,2.067628676914234,2.1081851997032124,0.8188677768422634,0.76770054879356,0.7284629162757605
10,11,0.01,2.970516512465921,1.3049441101310646,1.4461206357503675,1.3753524726750899,1.3049441101310646,1.4461206357503675,1.2953090947501513,1.7472186634606446,2.0271048879525257,1.7926013434557662,0.8397292267644574,0.7767170653251935,0.8036734366720129
11,12,0.01,2.6915399092623415,1.0442732318364893,1.0815402760948103,1.2272119741050564,1.0442732318364893,1.0815402760948103,1.2272119741050564,1.4511936697322025,1.602693514239896,1.8049397430274718,0.889436809498011,0.8604261530513209,0.8009615207410063
