,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,27.315176672865046,2.2293679371964266,2.3003424270865844,2.145829589999452,2.2293679371964266,2.3003424270865844,2.145829589999452,2.845884526490889,2.893644239454799,2.7694842324629954,0.5747989182948579,0.545018895255468,0.5313922972147873
1,2,0.01,7.558529093086375,2.603882577913881,2.557397495840014,2.145829589999452,2.603882577913881,2.557397495840014,2.350298565261218,3.194193596738046,3.2701589935505746,2.8625775092503636,0.4643485541918094,0.41891344553273935,0.4993593163967176
2,3,0.01,6.8832319393782715,1.8178026018497955,1.8946223947190748,1.6162886741210003,1.8178026018497955,1.8946223947190748,1.6162886741210003,2.360004686774975,2.4988071344578184,2.1033506302209077,0.7075944961793439,0.6607119494910225,0.7297068863573133
3,4,0.01,6.399864088976008,1.938241852118407,1.9238958604556997,1.6162886741210003,1.938241852118407,1.9238958604556997,1.5838733254646769,2.4554683181558192,2.404054095763121,2.085941143678613,0.683460084572463,0.6859552325756733,0.734162814727593
4,5,0.01,5.042001133173341,2.236101691586587,2.192959812498584,1.6162886741210003,2.236101691586587,2.192959812498584,2.0609165819323794,2.792757896355755,2.8157033810261067,2.534559315262874,0.5905259454121099,0.5691988097602648,0.6075208883765455
5,6,0.01,5.249065641722927,1.6090857177953652,1.630777710491849,1.5115293848271272,1.6090857177953652,1.630777710491849,1.5115293848271272,2.102004838908883,2.197273536339177,1.9667376125406157,0.7680324503455348,0.7376558766644667,0.7636778243890117
6,7,0.01,4.388903647565505,1.5290145211749606,1.687101106053775,1.5115293848271272,1.5290145211749606,1.687101106053775,1.4090228129406364,2.0129232857164534,2.1910077172405007,1.8064533328081631,0.7872770927853576,0.7391499619774071,0.8006275606450877
7,8,0.01,4.957145563210136,1.5891727475531987,1.644469897771619,1.5115293848271272,1.5891727475531987,1.644469897771619,1.3866354470350304,2.048248918500475,2.164245100531469,1.771107137398835,0.7797452513719639,0.74548348034678,0.8083533219589618
8,9,0.01,5.38799843270578,1.3922057244436206,1.5406023595750946,1.3025933625746746,1.3922057244436206,1.5406023595750946,1.3025933625746746,1.8594021520181634,2.082056171132342,1.6722558004213124,0.818487528376572,0.7644473611517556,0.8291491863862236
9,10,0.01,4.5494717859502165,1.5039318790784921,1.645413295509889,1.3025933625746746,1.5039318790784921,1.645413295509889,1.41231348806498,1.9972456683619724,2.1850956124106466,1.8556343466724057,0.7905777661061978,0.7405557919038769,0.7896238833618322
10,11,0.01,4.013005728283676,1.3159440807907261,1.4759312831249434,1.3038927754577325,1.3159440807907261,1.4759312831249434,1.3038927754577325,1.770837997498177,2.0024421691264145,1.6755728074311995,0.8353667784950826,0.7821171463148339,0.8284707310935959
11,12,0.01,4.405075389755484,2.0342622404306763,2.0822573089108025,1.3038927754577325,2.0342622404306763,2.0822573089108025,1.9007300466907269,2.5096213958734084,2.631727448159314,2.3457945668603566,0.6693441363604202,0.6236560749977582,0.6638047436075749
12,13,0.01,3.9276446420256725,1.4256577898312166,1.5441563522692807,1.3038927754577325,1.4256577898312166,1.5441563522692807,1.3856540967007072,1.8918809903715048,2.13580735813618,1.7358196031230742,0.8120910616486945,0.7521281280459271,0.8159139806949179
13,14,0.01,3.709926328983687,1.3305614764061047,1.5065817710050602,1.3038927754577325,1.3305614764061047,1.5065817710050602,1.281453205614674,1.7822615662813943,2.012071016440236,1.6520839361413204,0.8332358494433734,0.7800167063226082,0.833246159062774
14,15,0.01,3.666126299608803,1.5297523213259747,1.6089504330428606,1.3038927754577325,1.5297523213259747,1.6089504330428606,1.4752000545968815,1.9781582770775914,2.120279782197431,1.8641128376111773,0.7945614755290819,0.7557191434077895,0.7876970524132143
15,16,0.01,3.3856744505919627,1.328011427847483,1.6197872383078349,1.3038927754577325,1.328011427847483,1.6197872383078349,1.2947699099170917,1.7746852981531465,2.142881886474633,1.6195676686532499,0.8346506412162904,0.750483334754954,0.8397456503605335
16,17,0.01,3.595852626464883,1.2851601289339991,1.3963268589727658,1.2222911727671721,1.2851601289339991,1.3963268589727658,1.2222911727671721,1.732904966388719,1.9420159017882161,1.5602394948833984,0.8423444351861851,0.7950685309542291,0.8512715117598724
17,18,0.01,3.181807279739919,1.4160093758147576,1.5322977759174465,1.2222911727671721,1.4160093758147576,1.5322977759174465,1.3609066909673262,1.8387164255936175,2.010602143819572,1.6856507452113219,0.8225036922119648,0.7803377779826561,0.8264011583309843
18,19,0.01,2.8758521445990373,1.1704049602715572,1.4293107789816315,1.2222911727671721,1.1704049602715572,1.4293107789816315,1.1633964776992798,1.6078907476134228,1.9230244433833523,1.5148592618496495,0.8642709265937188,0.7990570846047106,0.8597973564802082
19,20,0.01,3.405531649261847,1.2371863636667328,1.5037409128602017,1.2222911727671721,1.2371863636667328,1.5037409128602017,1.2527791565778303,1.673305788423009,1.9945358558678878,1.5605779261211328,0.8530023341183204,0.7838342988211556,0.8512069834287601
20,21,0.01,3.196844585751905,1.3897860449096984,1.6504209951027153,1.2222911727671721,1.3897860449096984,1.6504209951027153,1.395705680457913,1.8611824965212675,2.2447478857486423,1.773755149160178,0.8181397720418775,0.7261969811250115,0.8077798252803757
21,22,0.01,3.2603790923886065,1.4976988834835585,1.6661434075267045,1.2222911727671721,1.4976988834835585,1.6661434075267045,1.3993512051446098,1.9428798973860149,2.191020313716381,1.8061566202146306,0.8018236973928387,0.7391469626263489,0.8006930496939662
22,23,0.01,3.586889512583317,1.1970996367449016,1.3962908946361738,1.1817780489824257,1.1970996367449016,1.3962908946361738,1.1817780489824257,1.6000765821276783,1.9173111520828856,1.4492461301401478,0.8655869764832891,0.8002493107328601,0.871679534035082
23,24,0.006999999999999999,2.829516408836987,1.5049363933623259,1.6791681702604,1.1817780489824257,1.5049363933623259,1.6791681702604,1.432101033171829,1.9426510357349898,2.19130113419116,1.786994178183231,0.8018703830212965,0.7390800918924618,0.804899714687974
24,25,0.006999999999999999,3.0477000458851484,1.2472026780697498,1.3959992005652988,1.2113326666306476,1.2472026780697498,1.3959992005652988,1.2113326666306476,1.6223872788766704,1.8825673736575397,1.5164355876831386,0.8618124628286074,0.8074231203991755,0.8595054217233351
25,26,0.006999999999999999,2.774016046187169,1.1161490746163065,1.3196636573555542,1.2069987861477598,1.1161490746163065,1.3196636573555542,1.2069987861477598,1.489514887631905,1.8362039358527036,1.4914806748243632,0.8835204970655766,0.8167917958104484,0.8640914151581014
26,27,0.006999999999999999,2.6163318259791066,1.0705063160061454,1.2368468328849556,1.0974502222878593,1.0705063160061454,1.2368468328849556,1.0974502222878593,1.442286916369593,1.7154986917360266,1.414650935753158,0.8907898157743644,0.8400869626470124,0.8777327310462798
27,28,0.006999999999999999,2.2795303674868155,1.1240740571943857,1.250032555196703,1.0974502222878593,1.1240740571943857,1.250032555196703,1.179551260811942,1.4787055670328761,1.7249384792662448,1.5176316097046056,0.8852049324796333,0.838322229917358,0.8592837164615449
28,29,0.006999999999999999,2.529568205296266,1.140840680230177,1.4106791093177402,1.0974502222878593,1.140840680230177,1.4106791093177402,1.2145982786100737,1.5023411769279023,1.8594183702087037,1.507367855230936,0.8815058381068641,0.8121300479978177,0.8611806109988546
29,30,0.006999999999999999,2.18213200661029,1.059444527252408,1.313730874012426,1.0974502222878593,1.059444527252408,1.313730874012426,1.063431910106114,1.4263233543505476,1.7872864352982312,1.335224446996119,0.893193963583035,0.8264233075884257,0.8910768531213816
30,31,0.006999999999999999,2.552741757094592,1.0318976486043128,1.2451510748912378,1.0974502222878593,1.0318976486043128,1.2451510748912378,1.0426024441816368,1.4121990762205874,1.7346924039274603,1.361719918247635,0.8952988002631082,0.8364885976116099,0.8867111392854727
31,32,0.006999999999999999,2.4591239388737836,1.2310527037869834,1.3554108757333658,1.0974502222878593,1.2310527037869834,1.3554108757333658,1.2137026871953691,1.588394010434982,1.8198323901010744,1.539462064721681,0.867542579428602,0.8200441907611735,0.8552063179167879
32,33,0.006999999999999999,2.446298623284087,1.1473254504384487,1.324570938483956,1.0974502222878593,1.1473254504384487,1.324570938483956,1.2106344334933223,1.506376819614958,1.7732396791109215,1.519627751841038,0.8808683765443731,0.8291409562457155,0.8589133045272026
