,AA,BB,BA,train_mae,train_mae_stderr,val_mae,val_mae_stderr,test_mae,test_mae_stderr,train_r2,train_r2_stderr,val_r2,val_r2_stderr,test_r2,test_r2_stderr,best_mae_test,best_r2_test,nfeatures,accumulated_relevance
0,11,7,6,0.01316998373183515,0.0005046462817509964,0.017708665716279368,0.00030948580981417543,0.01976140913914656,0.0001747355322886516,0.8755952852668696,0.008935311374458655,0.7633220488511194,0.008463363452709071,0.7352044526655841,0.003955449224084552,0.0188848850678424,0.7431978116859546,26,50.0
1,18,8,9,0.01016123531028556,0.0005979438737162951,0.017335571118236782,0.00021139114613662893,0.019540337214664492,0.00016086185039095903,0.9201740574943233,0.00852650977142622,0.7705514947709974,0.005683058133870208,0.7333761576064506,0.006174891864600914,0.0190184998268983,0.7484169303210888,41,55.00000000000001
2,24,12,16,0.011152023291388698,0.0006085479927975706,0.018592323777601828,0.00031846654645244254,0.02089274911856162,0.00022062110221910753,0.9105878755376567,0.00911119950210073,0.7234186107012126,0.008453823806430581,0.6968618422720362,0.007001410797908327,0.0197738050198068,0.7473100708648528,91,60.0
3,38,23,24,0.01124566793824585,0.000542030305691535,0.01798926054202398,0.0003030606497536777,0.02093323713206509,0.000300173299404348,0.9050742466203401,0.009172240039255259,0.7122373427169318,0.018800028791410836,0.5922708526580946,0.07796562654668218,0.0188496976482624,0.7646537942652081,149,65.0
4,48,33,34,0.00913230445649883,0.0003529733510918709,0.01907986436308041,0.00025818247621245004,0.021799335826416372,0.00021393299666410442,0.937591841000766,0.004278951870712457,0.6163040945311808,0.033501952301489994,0.6030777894225532,0.024732122164670474,0.0204968683573664,0.7134306383500264,150,70.0
5,69,49,45,0.01122002201196692,0.0005606404707306079,0.019553853218088398,0.00030077618616470707,0.021357620857199795,0.00025240187741234555,0.9069451746108772,0.009599264600989501,0.6936967292888682,0.009294580091058149,0.6602325795037622,0.019336865784873612,0.0201954111760976,0.729048696570463,152,75.0
6,82,72,56,0.00936322088186447,0.0003468430335093117,0.02076705986077018,0.0002749302195094271,0.027906275525384966,0.000651302804431069,0.9359386258644082,0.0047953821377966855,0.5418394957551269,0.034128173963870696,-1.5286638952172786,0.43576950334246334,0.0250656921036389,0.2193293078828007,209,80.0
7,127,114,100,0.00969173584370251,0.0006222865025066503,0.021218133679370248,0.0004700880242225164,0.027290508789675528,0.0004317701210200563,0.9310681095388696,0.007904747033740897,0.5790038423829487,0.04629974637678101,-0.3559304805849802,0.13761365245886614,0.0241228451534193,0.3256737978611383,301,85.00000000000001
8,153,152,127,0.00946664390995777,0.0003187156879301471,0.02110657713462392,0.00033598509119874394,0.02867456428250483,0.0004830898919908843,0.9353659397539017,0.0037642073080040514,0.6337211324316261,0.014856239851664392,-1.0397186317000897,0.31053949434096273,0.0263075211218425,0.1468629138568643,436,90.0
9,238,318,262,0.01167011863157847,0.0005642583029327071,0.022241708912800195,0.00030300983034841733,0.026244867881950018,0.0005318416924908523,0.9029796957846725,0.008491161513172465,0.5713904863158296,0.023037534100411757,0.2752599829119313,0.1074370223890516,0.0240581218077211,0.6246075513078049,685,95.0
10,436,789,746,0.017300386905823247,0.0004926759856587683,0.02767294144507531,0.0010580404854624913,0.02868410084320569,0.0006997943622980806,0.7869500685366435,0.012483326040373693,0.2728223388939421,0.08351640383637637,0.38497862069502203,0.04571305620951402,0.0254230718223416,0.5706889010671674,1971,1.0
11,1120,1428,1120,0.01947206391611383,0.0003647989689996251,0.029107403478671544,0.0007187488662646819,0.02793313188820465,0.0004975736587979451,0.7247796101961306,0.012065855295481511,0.13171237945703881,0.08867068205143047,0.4909903126679261,0.02503464759279038,0.0243855045766246,0.6147220604247107,2750,1.0
