,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,40.3688019922167,2.090999092746409,1.8786692852826463,2.0504012874194553,2.090999092746409,1.8786692852826463,2.0504012874194553,2.648765532882575,2.4992842114982587,2.564725933530342,0.6316617291085198,0.6605823820756778,0.5981226260370198
1,2,0.01,5.602000692676257,1.6599129256179261,1.657342162328897,1.601031327734188,1.6599129256179261,1.657342162328897,1.601031327734188,2.2267142964416933,2.389091568674856,2.169588315600716,0.7396912258580438,0.6898522169731874,0.7124149565219949
2,3,0.01,3.8733092515837635,1.2241061334818237,1.248015342299471,1.2147592841362467,1.2241061334818237,1.248015342299471,1.2147592841362467,1.7099673969803948,1.8878250912488408,1.7400039461807022,0.8464904240409967,0.8063459438158438,0.8150254004903946
3,4,0.01,3.146675008493275,1.1183400765855724,1.1367320682584625,1.1445288718963156,1.1183400765855724,1.1367320682584625,1.1445288718963156,1.5542733066417844,1.7318106041858872,1.672204899370304,0.8731721621053607,0.8370314208971297,0.8291595871318777
4,5,0.01,2.940801008282063,1.0722505488147624,1.1291918435047583,1.103679540205975,1.0722505488147624,1.1291918435047583,1.103679540205975,1.506618786576682,1.7203012828543005,1.5444753682080228,0.880830101616442,0.8391903464594773,0.8542617326145299
5,6,0.01,2.4432069116015427,1.2684773520620956,1.3575017390791904,1.103679540205975,1.2684773520620956,1.3575017390791904,1.347330380459221,1.6667175689569316,1.840615894522145,1.783792484408619,0.854157587833503,0.8159103271531112,0.8055981968584606
6,7,0.01,2.5127011791359712,1.1356618155557219,1.241556460095435,1.103679540205975,1.1356618155557219,1.241556460095435,1.1778523070471627,1.561771060479531,1.8601229479543786,1.6808066445095933,0.8719455856542757,0.8119876442566715,0.8273974761874101
7,8,0.01,2.4251744702755067,0.9597083766566076,1.0216685226283122,1.0151528387653583,0.9597083766566076,1.0216685226283122,1.0151528387653583,1.3199319265691993,1.5650985911966637,1.4224197465862318,0.9085333276174234,0.8668974147362007,0.8763861381105014
8,9,0.01,2.2844418545296046,1.2035893701021687,1.2281405028608656,1.0151528387653583,1.2035893701021687,1.2281405028608656,1.27733721660108,1.6006275333920341,1.7971290893333005,1.7357113430718842,0.8654943961959563,0.8245062566197535,0.8159369422288975
9,10,0.01,2.4244370962766477,0.9363891270655275,1.0205721363578875,1.06401662193999,0.9363891270655275,1.0205721363578875,1.06401662193999,1.304618003075182,1.5699193157003104,1.5103320649987895,0.910643418322067,0.8660762024681152,0.8606341028843614
10,11,0.01,1.8843658304245103,0.8995920341598276,1.051740283818589,1.06401662193999,0.8995920341598276,1.051740283818589,1.0327409420694624,1.2370448815559765,1.606521863981837,1.4378337625406834,0.9196602038672542,0.8597585573051856,0.8736925451988478
11,12,0.01,2.276998398161578,1.219889132350243,1.4214698236013197,1.06401662193999,1.219889132350243,1.4214698236013197,1.2058996339233554,1.6333984507116623,2.0321838775833974,1.551754770032756,0.8599303347778069,0.7755967755741265,0.8528847116376893
12,13,0.01,2.3358970555113765,0.99809878555413,1.1160678777498068,1.06401662193999,0.99809878555413,1.1160678777498068,1.083058778120547,1.3540667863583984,1.6954228961158497,1.5450820308704483,0.903741302020503,0.8438078591591208,0.8541472195165232
13,14,0.01,1.8500644047442505,0.899867122649534,0.9704552630788272,1.0243018841256901,0.899867122649534,0.9704552630788272,1.0243018841256901,1.2389466903637705,1.4637836004081322,1.3898250308016329,0.9194129882923158,0.8835721589592579,0.8819864465503375
14,15,0.01,1.5558588749794295,0.9171682844272239,1.0544862329345388,1.0243018841256901,0.9171682844272239,1.0544862329345388,1.0829213517052787,1.255259891686391,1.638263117052568,1.5977238501020719,0.9172768398497256,0.854162101472122,0.8440393395506401
15,16,0.01,1.6118272879832665,0.9086705614682873,0.9779879211150494,1.0243018841256901,0.9086705614682873,0.9779879211150494,0.9779957192284721,1.2280011100137034,1.537067493324698,1.3410522543272971,0.9208306041593323,0.8716224846959508,0.8901239520220251
16,17,0.01,1.9341467684786826,1.1234478116724533,1.3694189184719754,1.0243018841256901,1.1234478116724533,1.3694189184719754,1.3215228148869105,1.4981832222545763,1.9825229116058924,1.7554877286078612,0.8821608312074483,0.7864303578329968,0.8117186839977294
17,18,0.01,2.048324883711514,1.240278731804286,1.363968741033495,1.0243018841256901,1.240278731804286,1.363968741033495,1.3817750641277857,1.6544055869820373,1.9249137087165138,1.8376821681573823,0.8563042947902129,0.7986620600169921,0.7936747254667214
18,19,0.01,2.217610646304827,1.2111005736377352,1.33103644233389,1.0243018841256901,1.2111005736377352,1.33103644233389,1.285462082648764,1.6224283849046093,1.9373361070033814,1.7738304222428596,0.8618054602925317,0.7960550127784126,0.8077635103880715
19,20,0.01,1.8451024397260192,0.9070086455452343,1.0286772718134614,1.0243018841256901,0.9070086455452343,1.0286772718134614,1.0468672562618644,1.2428393281125376,1.6106698058477331,1.4648601691143897,0.9189058012665041,0.8590334326258205,0.8688996141633862
20,21,0.006999999999999999,1.3238789912363467,0.8963275186971127,1.0748740360908902,1.0243018841256901,0.8963275186971127,1.0748740360908902,1.1309727168813044,1.1919679358486175,1.5527155540726199,1.5090323927518425,0.925408565741035,0.8689952939884655,0.8608738542076381
21,22,0.006999999999999999,1.2912033717450073,1.0263853753003542,1.166272696760512,1.0243018841256901,1.0263853753003542,1.166272696760512,1.2367936330182212,1.3227757138503529,1.5625410864165712,1.5847769539109864,0.9081387739906401,0.8673320613074176,0.8465567023908136
22,23,0.006999999999999999,1.2880079666237534,0.938940754821841,1.1384059952706407,1.0243018841256901,0.938940754821841,1.1384059952706407,1.1958887808176937,1.2271274805424521,1.5721149981823375,1.5648904462581263,0.9209432101075574,0.8657013299958078,0.8503834942933614
23,24,0.006999999999999999,1.217609158791865,0.7363181724407463,0.9220758639660078,0.9398210243302949,0.7363181724407463,0.9220758639660078,0.9398210243302949,1.0402007638395228,1.4460997321150155,1.3122936998125767,0.9431940079470431,0.8863682798127438,0.8947859551591112
24,25,0.006999999999999999,1.121965159953368,0.8216488169184386,1.0153862852411173,0.9398210243302949,0.8216488169184386,1.0153862852411173,1.0213263874151268,1.1358594075515036,1.5638006527413564,1.3989575754246235,0.9322656495056973,0.8671180875171496,0.8804304160940127
25,26,0.006999999999999999,1.4841738134220617,0.7537479205397971,0.9345662040808767,0.9398210243302949,0.7537479205397971,0.9345662040808767,0.9544000820237764,1.0581534419395509,1.4049974890282024,1.3338098713619035,0.941216274057115,0.8927359511585741,0.8913075235700684
26,27,0.006999999999999999,1.1391521311372843,0.667848812668616,0.8841734645292931,0.9299062636433816,0.667848812668616,0.8841734645292931,0.9299062636433816,0.9603720672552275,1.3715449103998754,1.2893673372942354,0.9515784316462913,0.8977829940997902,0.8984301156685108
27,28,0.006999999999999999,1.1500263932276475,0.7111867606525016,0.8866491760175252,0.9299062636433816,0.7111867606525016,0.8866491760175252,0.918824813803848,1.0103566456563742,1.3792122937096822,1.293347483319729,0.9464068582873107,0.8966369468480176,0.897802075979449
28,29,0.006999999999999999,1.3734850409938957,0.8196642003001199,1.0500063318567179,0.9299062636433816,0.8196642003001199,1.0500063318567179,1.0810004290269346,1.1060882574609756,1.5496735241384478,1.4991498424022671,0.9357697850319826,0.8695081114870744,0.862690142598623
29,30,0.006999999999999999,1.3681303544464063,0.8043736825788641,0.9525251388549805,0.9299062636433816,0.8043736825788641,0.9525251388549805,0.9863214249513588,1.0870723793989325,1.424726466915502,1.3176444185188803,0.9379592935462729,0.8897023970384409,0.893926210910495
30,31,0.006999999999999999,1.172096366214691,0.8581622551095432,1.0647570349506497,0.9299062636433816,0.8581622551095432,1.0647570349506497,1.090264342269119,1.1547407817990747,1.5947069578213675,1.4850311549527682,0.9299950386766795,0.8618137383457234,0.8652642763796288
31,32,0.006999999999999999,1.2409983430064941,0.7658956549300854,1.0084685332996328,0.9299062636433816,0.7658956549300854,1.0084685332996328,1.001640529048686,1.0538155543437948,1.5577374005801568,1.402835796927939,0.9416972525362488,0.8681465237140641,0.8797665502221852
32,33,0.006999999999999999,1.0790632288273743,0.6549904170370132,0.8585475769239602,0.9496904830543362,0.6549904170370132,0.8585475769239602,0.9496904830543362,0.944875009253489,1.4064669869688395,1.34548520418501,0.9531285339953649,0.892511457192775,0.8893963442179936
33,34,0.006999999999999999,0.9417834229858242,0.9651564883358906,1.1532546970033155,0.9496904830543362,0.9651564883358906,1.1532546970033155,1.1377843314287615,1.2930383978032451,1.7566190909656894,1.5374129368703,0.9122226115485635,0.8323288717899735,0.8555915216955472
34,35,0.006999999999999999,1.4155990920850843,1.006901670206642,1.1245037341855235,0.9496904830543362,1.006901670206642,1.1245037341855235,1.1155687899005657,1.2878088277223794,1.6244366481077124,1.4542219276837725,0.912931190253661,0.8566133733570959,0.8707968782272941
35,36,0.006999999999999999,1.6374224306454472,1.049469567524292,1.1582461743010688,0.9496904830543362,1.049469567524292,1.1582461743010688,1.1731872084189434,1.3588028385997242,1.7069524077452694,1.5723227820142929,0.9030667658864977,0.8416763057501426,0.8489589335001065
36,37,0.006999999999999999,1.221959280447081,0.8354249902466742,1.007229823427102,0.9496904830543362,0.8354249902466742,1.007229823427102,1.0489985979333216,1.120131533006708,1.4698142296162158,1.4346567192578734,0.9341284536678139,0.8826108426899729,0.8742501074451073
37,38,0.006999999999999999,1.0469785181849756,0.618032346571112,0.921461215953237,0.9496904830543362,0.618032346571112,0.921461215953237,0.8958032520449891,0.876894905010241,1.3870967338137334,1.2565530430879974,0.9596303573153033,0.8954517932422259,0.9035342196637304
38,39,0.006999999999999999,1.0073070699156441,1.0814368532648742,1.2958814323562937,0.9496904830543362,1.0814368532648742,1.2958814323562937,1.325608710853421,1.3382421763279582,1.691923011506205,1.6479371867343742,0.9059780534593054,0.8444520526968964,0.8340822165493997
39,40,0.004899999999999999,0.9924272266656218,0.5900869344240898,0.9076654997068582,0.9496904830543362,0.5900869344240898,0.9076654997068582,0.93999496041512,0.8658691408517296,1.424193346588972,1.3016430557405818,0.9606391620277809,0.8897849264135755,0.8964868700227744
40,41,0.004899999999999999,0.8287808431136585,0.5948208977032259,0.8870895658571696,0.9496904830543362,0.5948208977032259,0.8870895658571696,0.915249187119153,0.8431293320259637,1.3901758035299154,1.280469911032236,0.9626794350913789,0.8949871270111988,0.8998270681914804
41,42,0.004899999999999999,0.7548454802964234,0.615965264074758,0.8260286763771293,0.8562572853905814,0.615965264074758,0.8260286763771293,0.8562572853905814,0.8448715270092324,1.33417419708381,1.2133331680041215,0.9625250415125791,0.9032773550393718,0.9100560888278366
42,43,0.004899999999999999,0.8466106678479439,0.617170792630489,0.8278232837460705,0.8562572853905814,0.617170792630489,0.8278232837460705,0.948079549536413,0.8655185422736438,1.3334825172587539,1.3083135471285148,0.9606710307232429,0.9033776174495198,0.8954232102291619
43,44,0.004899999999999999,0.7141548532588251,0.5575568402663361,0.8077158596097809,0.8803353516422973,0.5575568402663361,0.8077158596097809,0.8803353516422973,0.7939815081519136,1.3506765578274356,1.249448455484566,0.9669036128881783,0.9008698382986398,0.9046219765198393
44,45,0.004899999999999999,0.9708495224678294,0.7514967436811905,1.004642776607238,0.8803353516422973,0.7514967436811905,1.004642776607238,1.0667276771701113,0.9649613941635665,1.4476970797725253,1.3819797339026154,0.9511145419082734,0.8861171081891522,0.8833150141288199
45,46,0.004899999999999999,0.794213445812904,0.5316368369008765,0.8189993691198605,0.8803353516422973,0.5316368369008765,0.8189993691198605,0.8697737832458652,0.76290731993367,1.3235817646920984,1.2475454306306109,0.9694435163278018,0.904807081896535,0.9049122942559182
46,47,0.004899999999999999,0.6749116738177908,0.5200302866535762,0.8084060445274275,0.8803353516422973,0.5200302866535762,0.8084060445274275,0.8571174254222792,0.7757660577590146,1.3056541526052368,1.2326754082664941,0.9684047817393018,0.907368350304806,0.9071655661679365
