,AA,BB,BA,train_mae,train_mae_stderr,val_mae,val_mae_stderr,test_mae,test_mae_stderr,train_r2,train_r2_stderr,val_r2,val_r2_stderr,test_r2,test_r2_stderr,best_mae_test,best_r2_test,nfeatures,accumulated_relevance
0,4,2,6,0.7397512742702824,0.028122110030720838,1.2006371114671845,0.016702605816051486,1.1588107533600864,0.014101672866253948,0.9468698483146035,0.004134767793675176,0.8434670452335841,0.004093595002990894,0.8534548604383854,0.003089489741799177,1.1123932186438112,0.8560701919049916,12,50.0
1,5,5,6,0.6319926158617762,0.03133752332939017,1.1252386887048937,0.008237227401159038,1.1000819984747436,0.013082942503162737,0.9610827262054797,0.004121867246776459,0.8626693478253843,0.002564522342395415,0.8606171052404848,0.003533413823412636,1.04889377039306,0.8740445532431363,17,55.00000000000001
2,9,6,6,0.6272943201322316,0.019195287240019104,0.9816782897280664,0.01198193723570676,0.9780118169833203,0.00968282453510708,0.9608972079329761,0.0024630413750349254,0.8854236850098396,0.0025585112809980155,0.8750259460221642,0.00460997283329652,0.93965398048868,0.8884975566319235,23,60.0
3,12,9,6,0.42899052148150113,0.011399637430057464,0.8611463037962765,0.005005049043435022,0.858261717217309,0.011295798025477888,0.9809992729962168,0.0009046932592850273,0.9192963596791159,0.00171545336163167,0.9036285007869388,0.0025727937988198404,0.793426800747307,0.9149344878673284,29,65.0
4,16,11,8,0.48517507114085767,0.008542626622586863,0.8268109854963637,0.009796704396310025,0.8475443664862186,0.010353260211757353,0.9752491391702491,0.0007917797874482704,0.9258366224406208,0.0026301709814750013,0.9041526578333381,0.003733286107109441,0.7914100252852148,0.924328282654491,43,70.0
5,23,15,9,0.4243626218234106,0.020680733455449542,0.845379258308214,0.01107818802706904,0.8641825025178947,0.008868597738987719,0.980788315930287,0.0014822968999014523,0.9242214869716469,0.0020502797874516294,0.898911452190476,0.0029926528717584664,0.8065424719635321,0.9152915830957524,49,75.0
6,34,18,16,0.4052224052511275,0.014866520781821829,0.8071935213718217,0.014027523931845838,0.8321289021141676,0.010621204637277776,0.9826966588570247,0.001158007419980571,0.9274460192739185,0.0029842656122574963,0.9153676352955328,0.0038070781086943996,0.7814950480753061,0.9282514773973256,103,80.0
7,53,29,33,0.36727261998826444,0.020235251183477534,0.7891380720531818,0.010058507802623368,0.8431021057829564,0.010112348890393422,0.985639854993671,0.0014973013814667544,0.9158439559403545,0.004441197279239181,0.9049822036793895,0.0023057652490829725,0.79214659272408,0.9169440877654144,105,85.00000000000001
8,70,53,54,0.377710222286832,0.03268203250096003,0.7521063417503514,0.008823775959022681,0.8178869624527133,0.013122495524212631,0.9840603167125922,0.002777054970679733,0.925863943287063,0.004304618454801984,0.918484201034566,0.003977336946667436,0.7378039530345372,0.9356958882607768,177,90.0
9,172,174,152,0.30605034657449537,0.019337257216707086,0.7369632335053277,0.01426927085944036,0.8786883054947365,0.013981738651853056,0.990017666582057,0.0013316317135567103,0.9302159022956212,0.004357180744483324,0.8830244744608781,0.006674329004732468,0.8177162506142441,0.8960565309219886,364,95.0
10,433,773,710,0.35598027742131055,0.02122864062979748,0.8869438627331527,0.013980285493476049,0.8385105167116438,0.009095721987411121,0.9848831152165971,0.0020240596794508284,0.8572575936367347,0.004460819718905055,0.903372354367691,0.0032612450223741332,0.7890141946928841,0.9135235487259394,1916,1.0
11,1120,1428,1120,0.36908942415075724,0.021632301711687375,0.9133302237569672,0.016585845535451383,0.8962542021761136,0.009975124139533276,0.9844149274617113,0.002073240283730277,0.8555415485196672,0.0065453325718971625,0.8936171351621507,0.0021891224001283362,0.8614433468604574,0.9035003963058827,2750,1.0
