id,Z-0_MD_AA,Z-1_MD_AA,Z-2_MD_AA,Z-3_MD_AA,Z-4_MD_AA,Z-5_MD_AA,Z-6_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA,T-0_MD_AA,T-1_MD_AA,T-2_MD_AA,T-3_MD_AA,T-4_MD_AA,T-5_MD_AA,T-6_MD_AA,S-0_MD_AA,S-1_MD_AA,S-2_MD_AA,S-3_MD_AA,S-4_MD_AA,S-5_MD_AA,S-6_MD_AA,chi-0_MD_AA,chi-1_MD_AA,chi-2_MD_AA,chi-3_MD_AA,chi-4_MD_AA,chi-5_MD_AA,chi-6_MD_AA
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,0.0,272.0,500.0,720.0,1105.0,745.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,14.0,31.0,24.0,9.0,0.0,2.47,5.25,7.64,13.56,9.74,3.3,0.0,-2.42,-2.99,-2.8,-2.45,-1.05,0.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,0.0,274.0,495.0,1033.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,26.0,42.0,0.0,0.0,0.0,2.4,4.8,12.9,15.4,0.0,0.0,0.0,-1.53,-3.43,-2.59,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,0.0,255.0,495.0,852.0,1764.0,1338.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,12.0,48.0,42.0,18.0,0.0,1.75,4.83,8.16,21.36,17.28,6.6,0.0,-1.29,-3.34,-4.2,-4.2,-2.1,0.0
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,272.0,352.0,723.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,13.0,39.0,0.0,0.0,0.0,2.45,3.46,8.13,14.3,0.0,0.0,0.0,-2.5,-3.22,-3.34,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,0.0,273.0,495.0,781.0,1104.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,17.0,32.0,21.0,9.0,0.0,2.42,4.83,8.0,13.58,8.64,3.3,0.0,-2.02,-3.34,-3.18,-2.94,-1.05,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,0.0,273.0,496.0,1123.0,223.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,41.0,7.0,3.0,0.0,0.0,2.42,4.78,15.31,2.88,1.1,0.0,0.0,-2.02,-2.94,-1.94,-0.35,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,0.0,247.0,498.0,968.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,29.0,24.0,0.0,0.0,0.0,1.94,5.29,12.62,8.8,0.0,0.0,0.0,-1.06,-3.97,-1.4,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,0.0,275.0,494.0,1100.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,23.0,60.0,0.0,0.0,0.0,2.38,4.82,13.14,22.0,0.0,0.0,0.0,-1.04,-3.92,-2.8,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,0.0,275.0,492.0,953.0,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,18.0,57.0,0.0,0.0,0.0,2.38,4.89,11.36,20.9,0.0,0.0,0.0,-1.04,-4.81,-2.45,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,0.0,411.0,354.0,738.0,375.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,42.0,23.0,5.0,0.0,0.0,3.92,3.42,9.39,5.08,1.1,0.0,0.0,-4.5,-2.24,-2.29,-0.35,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,274.0,494.0,842.0,1718.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,11.0,57.0,21.0,9.0,0.0,2.4,4.82,7.84,22.78,8.64,3.3,0.0,-1.53,-3.92,-4.23,-2.1,-1.05,0.0
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,271.0,354.0,657.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,16.0,21.0,0.0,0.0,0.0,2.47,3.42,7.84,7.7,0.0,0.0,0.0,-2.99,-2.24,-2.73,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,0.0,342.0,430.0,663.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,28.0,16.0,0.0,0.0,0.0,3.15,4.52,8.24,4.4,0.0,0.0,0.0,-3.34,-2.24,-1.89,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,0.0,348.0,355.0,977.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,48.0,8.0,0.0,0.0,0.0,3.67,3.4,13.48,2.2,0.0,0.0,0.0,-5.05,-1.75,-1.19,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,350.0,424.0,961.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,39.0,40.0,0.0,0.0,0.0,3.6,4.12,12.27,11.0,0.0,0.0,0.0,-4.16,-3.08,-2.64,0.0,0.0,0.0
