id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,Z-4_MA_AA,Z-5_MA_AA,Z-6_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,I-4_MA_AA,I-5_MA_AA,I-6_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,T-4_MA_AA,T-5_MA_AA,T-6_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,S-4_MA_AA,S-5_MA_AA,S-6_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,chi-4_MA_AA,chi-5_MA_AA,chi-6_MA_AA
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,5929.0,4081.0,3388.0,3003.0,693.0,0.0,0.0,1.0,4.0,7.0,14.0,3.0,0.0,0.0,16.0,44.0,84.0,72.0,16.0,0.0,0.0,1.988,4.709,7.106,8.347,1.875,0.0,0.0,4.84,23.782,41.228,70.136,16.368,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,5929.0,4774.0,2464.0,2541.0,770.0,0.0,0.0,1.0,5.0,5.0,13.0,10.0,0.0,0.0,25.0,60.0,90.0,125.0,50.0,0.0,0.0,1.988,5.471,5.09,8.051,4.371,0.0,0.0,4.84,32.34,30.206,66.0,48.4,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-cn_1_smi1_1_s_1,5929.0,3927.0,3619.0,2541.0,616.0,0.0,0.0,1.0,4.0,7.0,13.0,8.0,0.0,0.0,16.0,44.0,80.0,92.0,32.0,0.0,0.0,1.988,4.766,7.022,8.051,3.497,0.0,0.0,4.84,21.626,44.462,66.0,38.72,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,5929.0,2695.0,3850.0,2618.0,0.0,0.0,0.0,1.0,4.0,8.0,19.0,0.0,0.0,0.0,16.0,48.0,108.0,76.0,0.0,0.0,0.0,1.988,4.54,8.136,9.348,0.0,0.0,0.0,4.84,23.804,46.838,92.796,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,5929.0,5467.0,3311.0,2618.0,693.0,0.0,0.0,1.0,4.0,7.0,19.0,9.0,0.0,0.0,16.0,44.0,104.0,112.0,36.0,0.0,0.0,1.988,5.654,7.177,10.081,3.934,0.0,0.0,4.84,22.176,40.348,94.27,43.56,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,5929.0,4004.0,3465.0,3850.0,770.0,0.0,0.0,1.0,4.0,7.0,15.0,10.0,0.0,0.0,16.0,44.0,88.0,108.0,40.0,0.0,0.0,1.988,4.738,7.12,9.969,4.371,0.0,0.0,4.84,22.704,42.504,76.516,48.4,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-hicn_1_bromide_1_smi1_1_s_1,5929.0,4158.0,2541.0,3003.0,1463.0,0.0,0.0,1.0,4.0,5.0,9.0,13.0,0.0,0.0,16.0,36.0,56.0,100.0,56.0,0.0,0.0,1.988,4.752,5.062,7.487,6.246,0.0,0.0,4.84,24.42,31.284,48.18,64.768,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1,5929.0,1925.0,3234.0,4312.0,1386.0,0.0,0.0,1.0,4.0,6.0,9.0,18.0,0.0,0.0,16.0,40.0,60.0,124.0,72.0,0.0,0.0,1.988,4.089,5.964,9.165,7.868,0.0,0.0,4.84,23.518,39.93,52.448,87.12,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,5929.0,5390.0,3388.0,3927.0,3465.0,1848.0,231.0,1.0,4.0,8.0,16.0,15.0,9.0,3.0,16.0,48.0,96.0,124.0,108.0,60.0,12.0,1.988,5.696,7.614,11.139,10.11,5.71,1.311,4.84,20.9,45.188,82.83,77.22,45.87,14.52
ir_tbp_1_dft-ime_1_dft-py_1_dft-iacn_1_bromide_1_smi1_1_s_1,5929.0,4158.0,2541.0,3388.0,1463.0,77.0,0.0,1.0,4.0,5.0,9.0,14.0,1.0,0.0,16.0,36.0,56.0,104.0,64.0,4.0,0.0,1.988,4.752,5.062,8.079,6.712,0.437,0.0,4.84,24.42,31.284,48.95,68.53,4.84,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-hicn_1_bromide_1_smi1_1_s_1,5929.0,4235.0,2849.0,1925.0,154.0,0.0,0.0,1.0,4.0,6.0,14.0,2.0,0.0,0.0,16.0,40.0,80.0,72.0,8.0,0.0,0.0,1.988,4.724,6.148,7.276,0.874,0.0,0.0,4.84,25.498,34.738,70.378,9.68,0.0,0.0
ir_tbp_1_dft-iz_1_dft-oxaz_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,5929.0,2695.0,3003.0,2541.0,308.0,0.0,0.0,1.0,5.0,6.0,10.0,4.0,0.0,0.0,25.0,65.0,80.0,90.0,20.0,0.0,0.0,1.988,4.963,6.049,6.613,1.748,0.0,0.0,4.84,33.242,36.696,54.516,19.36,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,5929.0,2618.0,3388.0,3927.0,3850.0,1925.0,231.0,1.0,4.0,7.0,11.0,15.0,10.0,3.0,16.0,44.0,72.0,108.0,116.0,64.0,12.0,1.988,4.568,7.149,9.546,10.702,6.148,1.311,4.84,22.726,41.426,59.4,77.99,50.71,14.52
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-no2_1_smi1_1_s_1,5929.0,3927.0,2926.0,3850.0,3850.0,1925.0,231.0,1.0,6.0,6.0,10.0,15.0,10.0,3.0,36.0,96.0,96.0,156.0,174.0,96.0,18.0,1.988,6.401,6.077,9.109,10.702,6.148,1.311,4.84,38.94,35.618,54.56,77.99,50.71,14.52
