id,Z-0_MS_AB,Z-1_MS_AB,Z-2_MS_AB,Z-3_MS_AB,Z-4_MS_AB,Z-5_MS_AB,Z-6_MS_AB,I-0_MS_AB,I-1_MS_AB,I-2_MS_AB,I-3_MS_AB,I-4_MS_AB,I-5_MS_AB,I-6_MS_AB,T-0_MS_AB,T-1_MS_AB,T-2_MS_AB,T-3_MS_AB,T-4_MS_AB,T-5_MS_AB,T-6_MS_AB,S-0_MS_AB,S-1_MS_AB,S-2_MS_AB,S-3_MS_AB,S-4_MS_AB,S-5_MS_AB,S-6_MS_AB,chi-0_MS_AB,chi-1_MS_AB,chi-2_MS_AB,chi-3_MS_AB,chi-4_MS_AB,chi-5_MS_AB,chi-6_MS_AB
ir_tbp_1_dft-iz_1_dft-iz_1_dft-hicn_1_chloride_1_smi1_1_s_1,940.4,1173.7,2109.9,1405.0,0.0,0.0,0.0,28.4,33.7,57.9,37.0,0.0,0.0,0.0,64.4,78.7,138.9,91.0,0.0,0.0,0.0,33.278,39.845,68.957,44.37,0.0,0.0,0.0,42.758,51.695,90.287,58.59,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,940.4,1880.4,4684.0,702.3,0.0,0.0,0.0,28.4,56.4,124.0,18.3,0.0,0.0,0.0,64.4,128.4,304.0,45.3,0.0,0.0,0.0,33.336,66.233,148.583,22.026,0.0,0.0,0.0,42.816,85.193,195.983,29.136,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-co_1_dft-oh_1_smi1_1_s_1,940.0,1406.6,1876.8,3512.5,0.0,0.0,0.0,28.0,38.6,52.8,92.5,0.0,0.0,0.0,64.0,92.6,124.8,227.5,0.0,0.0,0.0,32.919,45.981,62.67,110.993,0.0,0.0,0.0,42.399,60.201,81.63,146.543,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,940.1,1409.8,2111.2,4215.0,234.1,0.0,0.0,28.1,41.8,59.2,111.0,6.1,0.0,0.0,64.1,95.8,140.2,273.0,15.1,0.0,0.0,33.011,49.215,70.293,133.132,7.331,0.0,0.0,42.491,63.435,91.623,175.792,9.701,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1175.9,1643.2,2110.3,1873.3,0.0,0.0,0.0,35.9,47.2,58.3,49.3,0.0,0.0,0.0,95.9,131.2,166.3,145.3,0.0,0.0,0.0,42.018,55.791,69.372,59.121,0.0,0.0,0.0,53.868,72.381,90.702,78.081,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.7,1410.5,2812.1,4221.0,2816.0,702.3,0.0,28.7,42.5,76.1,117.0,80.0,18.3,0.0,64.7,96.5,184.1,279.0,188.0,45.3,0.0,33.582,49.924,90.841,139.179,94.793,21.993,0.0,43.062,64.144,119.281,181.839,123.233,29.103,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.4,1174.7,2110.1,3513.0,0.0,0.0,0.0,28.4,34.7,58.1,93.0,0.0,0.0,0.0,64.4,79.7,139.1,228.0,0.0,0.0,0.0,33.304,40.85,69.121,111.487,0.0,0.0,0.0,42.784,52.7,90.451,147.037,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,1412.3,1879.9,3045.0,936.9,0.0,0.0,0.0,44.3,55.9,81.0,24.9,0.0,0.0,0.0,134.3,175.9,276.0,84.9,0.0,0.0,0.0,51.688,65.733,96.956,29.811,0.0,0.0,0.0,65.908,84.693,127.766,39.291,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-co_1_bromide_1_smi1_1_s_1,1176.8,1408.5,3045.9,4215.2,0.0,0.0,0.0,36.8,40.5,81.9,111.2,0.0,0.0,0.0,96.8,112.5,237.9,327.2,0.0,0.0,0.0,42.944,47.885,97.934,133.325,0.0,0.0,0.0,54.794,62.105,128.744,175.985,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,940.4,1880.4,4682.1,0.0,0.0,0.0,0.0,28.4,56.4,122.1,0.0,0.0,0.0,0.0,64.4,128.4,302.1,0.0,0.0,0.0,0.0,33.369,66.286,146.654,0.0,0.0,0.0,0.0,42.849,85.246,194.054,0.0,0.0,0.0,0.0
