,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.00056615664,0.05605258,0.06416494,0.0009638733,0.072580926,0.080674574,0.9996614480332937,-1.1399872303009033,-1.1894681453704834
1,2,1.0,0.00954217,0.4704515,0.06416494,0.011014792,0.47779885,0.080674574,0.9557882137596607,-91.73771667480469,-1.1894681453704834
2,3,1.0,0.0054846862,0.09497574,0.06416494,0.006683489,0.106634684,0.080674574,0.9837223440408707,-3.619162082672119,-1.1894681453704834
3,4,1.0,0.0068824696,0.036253,0.043118916,0.010096867,0.051643327,0.059189424,0.9628500081598759,-0.08341443538665771,-0.1785649061203003
4,5,1.0,0.09231015,0.23580252,0.043118916,0.09914337,0.24994385,0.059189424,-2.5818943977355957,-24.377634048461914,-0.1785649061203003
5,6,1.0,0.0848539,0.13094237,0.043118916,0.09203519,0.14145315,0.059189424,-2.0866920948028564,-7.128144264221191,-0.1785649061203003
6,7,1.0,0.07439191,0.093334265,0.043118916,0.08374628,0.10498671,0.059189424,-1.5557386875152588,-3.477492332458496,-0.1785649061203003
7,8,1.0,0.1292442,0.15390316,0.043118916,0.13735566,0.16305174,0.059189424,-5.87509298324585,-9.799834251403809,-0.1785649061203003
8,9,1.0,0.03979825,0.039848264,0.043118916,0.052999564,0.05532648,0.059189424,-0.02359938621520996,-0.2434612512588501,-0.1785649061203003
9,10,1.0,0.1451602,0.15216696,0.043118916,0.15365411,0.16128674,0.059189424,-7.603473663330078,-9.567288398742676,-0.1785649061203003
10,11,0.7,0.09887754,0.101488784,0.043118916,0.109822735,0.11268245,0.059189424,-3.3951120376586914,-4.1579694747924805,-0.1785649061203003
11,12,0.7,0.037785918,0.03698338,0.043118916,0.04608227,0.04571261,0.059189424,0.2261563539505005,0.1511358618736267,-0.1785649061203003
12,13,0.7,0.088037394,0.09298623,0.043118916,0.098889604,0.10303166,0.059189424,-2.563581705093384,-3.312286853790283,-0.1785649061203003
13,14,0.7,0.11408474,0.11989896,0.043118916,0.12395454,0.12945676,0.059189424,-4.598998546600342,-5.807938575744629,-0.1785649061203003
14,15,0.7,0.08447763,0.08946647,0.043118916,0.09532105,0.09978977,0.059189424,-2.3110299110412598,-3.0451836585998535,-0.1785649061203003
15,16,0.7,0.043286927,0.044743076,0.043118916,0.050179463,0.051853437,0.059189424,0.08243370056152344,-0.09224820137023926,-0.1785649061203003
16,17,0.48999999999999994,0.031802807,0.03197937,0.03661799,0.04102827,0.04211524,0.047294952,0.3865886330604553,0.27948206663131714,0.2475200891494751
17,18,0.48999999999999994,0.03561739,0.036916435,0.03661799,0.047420043,0.050906986,0.047294952,0.1805747151374817,-0.052739620208740234,0.2475200891494751
18,19,0.48999999999999994,0.03617356,0.038749896,0.03661799,0.047879256,0.054009367,0.047294952,0.1646273136138916,-0.18496191501617432,0.2475200891494751
19,20,0.48999999999999994,0.03019025,0.034388162,0.03661799,0.040422045,0.04806994,0.047294952,0.4045819044113159,0.06132906675338745,0.2475200891494751
20,21,0.48999999999999994,0.023582458,0.028314577,0.030713052,0.031773385,0.03933719,0.04233125,0.6321146786212921,0.37140214443206787,0.39718031883239746
21,22,0.48999999999999994,0.019685801,0.024771005,0.027590392,0.02638778,0.033489116,0.036716886,0.7462586760520935,0.5444106459617615,0.5464794337749481
22,23,0.48999999999999994,0.017747097,0.023792759,0.026907124,0.023547176,0.031723693,0.035137344,0.7979480028152466,0.5911785662174225,0.5846605598926544
23,24,0.48999999999999994,0.016054098,0.024174813,0.026907124,0.021417098,0.032135576,0.035137344,0.8328498750925064,0.580493837594986,0.5846605598926544
24,25,0.48999999999999994,0.014283385,0.023893744,0.026907124,0.019311078,0.032408386,0.035137344,0.8641065508127213,0.5733409225940704,0.5846605598926544
25,26,0.48999999999999994,0.012520723,0.022876622,0.024604553,0.017257607,0.031526748,0.034755886,0.8914708122611046,0.5962387919425964,0.5936296880245209
26,27,0.48999999999999994,0.010940218,0.021710105,0.023105405,0.015510816,0.029964618,0.032848284,0.9123292490839958,0.6352597177028656,0.63701331615448
27,28,0.48999999999999994,0.009779695,0.020486465,0.02209088,0.014222181,0.028374197,0.031119656,0.9262914434075356,0.6729506254196167,0.6742121875286102
28,29,0.48999999999999994,0.009074189,0.019468443,0.02154181,0.013401148,0.027532907,0.030025238,0.9345560595393181,0.6920569837093353,0.6967238783836365
29,30,0.48999999999999994,0.008721852,0.01934572,0.021206247,0.013009674,0.027580693,0.0298547,0.9383237026631832,0.6909871399402618,0.7001592218875885
30,31,0.48999999999999994,0.008697427,0.019515986,0.021206247,0.0129529545,0.028302638,0.0298547,0.938860323280096,0.6745981574058533,0.7001592218875885
31,32,0.48999999999999994,0.008819856,0.019670997,0.021206247,0.01312174,0.02896417,0.0298547,0.9372565671801567,0.6592088043689728,0.7001592218875885
32,33,0.48999999999999994,0.009039406,0.019730387,0.021206247,0.013397996,0.02919486,0.0298547,0.934586837887764,0.6537586152553558,0.7001592218875885
33,34,0.48999999999999994,0.009247891,0.019609004,0.021206247,0.013686893,0.028775094,0.0298547,0.9317354634404182,0.6636435985565186,0.7001592218875885
34,35,0.48999999999999994,0.009432353,0.019369887,0.021206247,0.01396909,0.027945241,0.0298547,0.9288914799690247,0.6827643811702728,0.7001592218875885
