,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,nfeatures,accumulated_relevance
0,0.010955079,0.020144895,0.01996415,0.8979000151157379,0.6210645139217377,0.681304931640625,15,50.0
1,0.013544905,0.019440498,0.020134587,0.8619341403245926,0.7117185294628143,0.7499573230743408,16,51.0
2,0.013358263,0.019379852,0.020143066,0.8647838681936264,0.7127003371715546,0.7486767768859863,17,52.0
3,0.012605965,0.018849213,0.019624844,0.877194307744503,0.730224221944809,0.7555661350488663,18,53.0
4,0.013822314,0.018455971,0.018091712,0.8556302338838577,0.7398746013641357,0.7873724400997162,19,54.0
5,0.01366881,0.018237973,0.017824031,0.8585622161626816,0.7503182291984558,0.7933556139469147,20,55.00000000000001
6,0.013476314,0.01806998,0.018260054,0.8610158860683441,0.7477313280105591,0.7862512171268463,22,56.00000000000001
7,0.0135247875,0.018051896,0.018266981,0.8602713942527771,0.7489832043647766,0.7871065884828568,22,57.00000000000001
8,0.013906517,0.017959027,0.018116876,0.8545848429203033,0.7575668692588806,0.7926722019910812,23,57.99999999999999
9,0.01234166,0.017558258,0.018358983,0.8853780180215836,0.7441236674785614,0.7769574820995331,24,59.0
10,0.013714268,0.017755933,0.017930744,0.8591396510601044,0.7697562128305435,0.7984352707862854,26,60.0
11,0.011494557,0.01689323,0.017525146,0.8955007568001747,0.7760865390300751,0.8096669763326645,27,61.0
12,0.011457168,0.017037231,0.017549925,0.8963256403803825,0.7729739397764206,0.8051785230636597,29,62.0
13,0.01089185,0.016915126,0.017423488,0.9034250304102898,0.7712114751338959,0.8080949187278748,30,63.0
14,0.010231186,0.017368486,0.017378492,0.9165687784552574,0.7572155147790909,0.810275211930275,32,64.0
15,0.010470357,0.017256793,0.017597442,0.913684532046318,0.7442991435527802,0.806176483631134,34,65.0
16,0.010200487,0.01733986,0.017395506,0.919200360774994,0.7371256351470947,0.8095157146453857,36,66.0
17,0.010756567,0.017207785,0.017455162,0.9092374667525293,0.7586943507194519,0.8046541064977646,38,67.0
18,0.012026271,0.017547451,0.017759658,0.8884361013770103,0.7607064545154572,0.7926154285669327,42,68.0
19,0.01039098,0.017640024,0.01674505,0.915038339793682,0.7320865392684937,0.8292346149682999,43,69.0
20,0.010316721,0.01765971,0.016525036,0.9140734300017356,0.7453143000602722,0.8321826905012131,46,70.0
21,0.01145103,0.018028392,0.017114649,0.8950341641902924,0.7496993243694305,0.8215277791023254,49,71.0
22,0.011638217,0.017546535,0.016967572,0.8938705623149872,0.7558945119380951,0.8204271048307419,53,72.0
23,0.013005161,0.01801133,0.017501831,0.8685641884803772,0.7494966685771942,0.8146023154258728,56,73.0
24,0.011701622,0.017409503,0.017011024,0.897292397916317,0.7551106959581375,0.7999226897954941,58,74.0
25,0.011713953,0.017748848,0.016756231,0.8908449113368988,0.7574101686477661,0.8289905786514282,63,75.0
26,0.011744926,0.01789196,0.016526083,0.8922678902745247,0.7577610313892365,0.8327577263116837,67,76.0
27,0.013807546,0.01826673,0.017780324,0.8521957844495773,0.7293227910995483,0.8079050034284592,71,77.0
28,0.012593376,0.017916454,0.017140763,0.8771383985877037,0.754889726638794,0.8189345747232437,80,78.0
29,0.012355416,0.017939499,0.016802067,0.8817625716328621,0.7587074637413025,0.8252003490924835,84,79.0
30,0.011675154,0.018445887,0.016332053,0.893847867846489,0.7395125329494476,0.8326757550239563,90,80.0
31,0.011232795,0.018099282,0.016354451,0.9021587818861008,0.7403468191623688,0.8284467458724976,93,81.0
32,0.010333246,0.018573416,0.016116785,0.9174373969435692,0.7305532395839691,0.8244327008724213,100,82.0
33,0.010334365,0.018147534,0.016463282,0.9210592955350876,0.7234030067920685,0.8221121430397034,104,83.0
34,0.01149346,0.018708576,0.016285714,0.8976115435361862,0.7319672107696533,0.8278238773345947,110,84.00000000000001
35,0.010346263,0.018669976,0.017099096,0.9189853966236116,0.7197055220603943,0.7993527799844742,120,85.00000000000001
36,0.010268468,0.018314475,0.016758116,0.919311448931694,0.7266673743724823,0.8225448280572891,127,86.0
37,0.010670341,0.018117627,0.016755877,0.9115700125694276,0.7317700982093811,0.8155860602855682,134,87.0
38,0.010721374,0.017814443,0.017304808,0.9138681665062904,0.7402943074703217,0.8023819923400879,145,88.0
39,0.0117185805,0.018306984,0.01700484,0.8980401903390884,0.7155039012432098,0.818869411945343,152,89.0
40,0.0108910585,0.01802772,0.01836316,0.91274094581604,0.7353472411632538,0.7770464867353439,164,90.0
41,0.0114280805,0.017965095,0.017268585,0.9005790799856186,0.7449563145637512,0.8075599074363708,176,91.0
42,0.011807956,0.018345438,0.017321017,0.8904830440878868,0.7336701452732086,0.8123070746660233,190,92.0
43,0.012170062,0.018666,0.01718803,0.8800925239920616,0.7133687734603882,0.8080334961414337,206,93.0
44,0.011761797,0.018398087,0.017596886,0.8911357894539833,0.7352683246135712,0.8049765080213547,223,94.0
45,0.011612763,0.018596593,0.017329417,0.8925958052277565,0.7169656753540039,0.8111231029033661,244,95.0
46,0.01144508,0.01892961,0.017234001,0.8984208106994629,0.7093630135059357,0.8107472211122513,265,96.0
47,0.0115352785,0.019178754,0.018349446,0.8990955576300621,0.7041317224502563,0.790663868188858,292,97.0
48,0.012696603,0.019241778,0.017863458,0.8700575530529022,0.6862253248691559,0.7971098870038986,323,98.0
49,0.013951485,0.020143816,0.018697865,0.8432652354240417,0.6631961166858673,0.7805668413639069,366,99.0
50,0.01132455,0.02037279,0.018816195,0.898031659424305,0.6205034852027893,0.7698725610971451,510,100.0
51,0.012786982,0.020894697,0.01926493,0.869029313325882,0.579908162355423,0.7663936018943787,671,100.0
