,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,nfeatures,accumulated_relevance
0,0.92061305,1.2127018,1.2516655,0.9169804751873016,0.8639580607414246,0.8216814398765564,11,50.0
1,0.86710674,1.1123401,1.2418506,0.9261968731880188,0.8835725113749504,0.8263605087995529,12,51.0
2,0.92741644,1.1316165,1.2680792,0.9169836118817328,0.8846425041556358,0.8251277506351471,12,52.0
3,0.8808557,1.1189365,1.2485803,0.9241354167461396,0.8849863931536674,0.8236697316169739,13,53.0
4,0.88822716,1.1190376,1.2642068,0.9232444390654564,0.884678490459919,0.8218864798545837,13,54.0
5,0.9344124,1.13448,1.2856451,0.9156973287463188,0.8857631236314774,0.8185790926218033,14,55.00000000000001
6,0.858988,1.1143469,1.2356635,0.9275906309485435,0.8847668245434761,0.823627308011055,14,56.00000000000001
7,0.9638661,1.1591715,1.244851,0.9108733981847764,0.870540201663971,0.83992500603199,15,57.00000000000001
8,1.0184282,1.1621726,1.2634805,0.9015754610300064,0.8783682361245155,0.8341237008571625,16,57.99999999999999
9,0.99828535,1.1674451,1.2657256,0.9049831032752992,0.8765742033720016,0.8329087942838669,16,59.0
10,1.0180528,1.174973,1.2650446,0.901443138718605,0.8762329146265984,0.8322470933198929,17,60.0
11,0.95984656,1.171012,1.2536451,0.911724254488945,0.869523361325264,0.8358148038387299,18,61.0
12,1.0052648,1.1702198,1.2623918,0.9033259227871896,0.8759815394878387,0.8316626846790314,18,62.0
13,0.9063877,1.1579374,1.2188933,0.9186631366610528,0.8799333646893501,0.829910010099411,19,63.0
14,0.9321232,1.1609313,1.2186956,0.91471129655838,0.8790507838129997,0.8319963067770004,20,64.0
15,0.9231208,1.1570886,1.2268479,0.9159135594964029,0.8794053047895432,0.827381819486618,21,65.0
16,0.8619155,1.1361176,1.1833749,0.9247338473796844,0.8811301067471504,0.8365532606840134,22,66.0
17,0.7819978,1.059585,1.093909,0.9357881620526314,0.8892605751752853,0.8504431247711182,23,67.0
18,0.67796963,0.9895145,0.9381074,0.9475476145744324,0.8879412859678268,0.8964280560612679,26,68.0
19,0.67427063,0.9930833,0.9415654,0.9479288086295128,0.8875702917575836,0.8962261080741882,26,69.0
20,0.638161,1.0022646,0.93779856,0.952569879591465,0.8780445531010628,0.8933610767126083,27,70.0
21,0.6182597,0.95189625,0.90031487,0.955099705606699,0.8973142728209496,0.9089244827628136,28,71.0
22,0.5544377,0.9522491,0.85203147,0.9639233350753784,0.9159961566329002,0.9201450422406195,30,72.0
23,0.636527,0.93556756,0.8534,0.9541895277798176,0.9146785289049147,0.9191351905465126,31,73.0
24,0.63160825,0.87708044,0.81172025,0.9559354707598686,0.9242105707526208,0.9268390238285064,33,74.0
25,0.6047032,0.8489101,0.7742725,0.9589246958494186,0.9240248948335648,0.9328145682811736,35,75.0
26,0.61152965,0.8341598,0.7864017,0.9581426605582236,0.9321209564805032,0.9306862652301788,37,76.0
27,0.48563334,0.71294117,0.71632123,0.9732090774923564,0.9505563005805016,0.9425517693161964,39,77.0
28,0.4668575,0.7037078,0.71946114,0.9752573184669018,0.9500947296619416,0.941570110619068,41,78.0
29,0.3967729,0.7278715,0.7020454,0.9812254216521978,0.9501032121479512,0.9438321925699712,44,79.0
30,0.5087017,0.73503804,0.66981506,0.9711806457489728,0.923593632876873,0.9471465945243835,46,80.0
31,0.46454868,0.7049641,0.6861699,0.9754488337785006,0.9464327953755856,0.9443606808781624,52,81.0
32,0.40125757,0.7085,0.6901717,0.9806777238845824,0.9514764323830605,0.9450709894299508,52,82.0
33,0.4591911,0.6762961,0.67686975,0.9763129390776156,0.9551252387464046,0.9460930824279784,56,83.0
34,0.4789365,0.68737024,0.6839023,0.9739287476986648,0.9511678330600262,0.9446740597486496,58,84.00000000000001
35,0.53082955,0.6920185,0.7172341,0.9706206768751144,0.9434387795627116,0.9406326785683632,63,85.00000000000001
36,0.49440327,0.70493335,0.6907929,0.9711565654724836,0.9311363771557808,0.9449236765503884,66,86.0
37,0.48441017,0.68304807,0.69639105,0.9738533776253462,0.9488602876663208,0.9449081234633924,72,87.0
38,0.46202084,0.69098926,0.67851484,0.9740108344703912,0.9458614625036716,0.946009822189808,78,88.0
39,0.4568485,0.7039229,0.68593246,0.9743087626993656,0.9442615769803524,0.94413373619318,86,89.0
40,0.43686476,0.7147222,0.7015864,0.9763625469058752,0.9434205070137978,0.9415704905986786,93,90.0
41,0.435081,0.7227209,0.7176892,0.9762782156467438,0.9422418251633644,0.9377688616514206,102,91.0
42,0.49036714,0.72041035,0.7385529,0.9732788428664207,0.940729197114706,0.9380357228219508,114,92.0
43,0.44898003,0.73821723,0.71456724,0.9763210508972406,0.9387210719287395,0.9394292123615742,121,93.0
44,0.46746752,0.7266008,0.73006797,0.9747792314738036,0.9362668320536612,0.9360753148794174,136,94.0
45,0.43380567,0.7389748,0.714566,0.9756622649729252,0.9352226182818412,0.936845436692238,155,95.0
46,0.44408336,0.7562649,0.7275584,0.9754583220928909,0.9264816343784332,0.9359306395053864,181,96.0
47,0.4940184,0.74804795,0.74108094,0.9674797803163528,0.9263524934649467,0.935795821249485,213,97.0
48,0.49614778,0.7516932,0.7413014,0.9670878313481808,0.9250553250312804,0.9354224726557732,252,98.0
49,0.5273301,0.8505749,0.8012177,0.9631358161568642,0.9075389131903648,0.9255737140774728,310,99.0
50,0.574444,0.94694173,0.86231947,0.9564086012542248,0.8869937136769295,0.9135106578469276,532,100.0
51,0.5907889,1.0273255,0.9020282,0.9538043327629566,0.8676833510398865,0.903713196516037,671,100.0
