,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.091170095,8.236087,7.6917987,0.12539583,9.556294,8.88087,0.9991744828876108,-3.962289810180664,-3.8186192512512207
1,2,1.0,0.07509683,5.1151996,4.592057,0.111957304,6.752962,5.9006667,0.9993419412057847,-1.4779455661773682,-1.1272268295288086
2,3,1.0,0.07659408,2.6142757,2.15324,0.108413056,3.8969376,3.3271914,0.9993829462910071,0.17481756210327148,0.32365673780441284
3,4,1.0,0.081381954,1.4490471,1.2817335,0.11040373,2.412462,2.1332586,0.9993600776651874,0.6837547123432159,0.7219655811786652
4,5,1.0,0.08411767,1.0462682,0.97878826,0.11371822,1.8625624,1.7133628,0.9993210779502988,0.8114941716194153,0.8206463158130646
5,6,1.0,0.09256714,0.90049416,0.86056095,0.12924926,1.6070169,1.5574195,0.9991229670704342,0.8596721142530441,0.8518086522817612
6,7,1.0,0.10579821,0.8276108,0.82338655,0.1542283,1.4636394,1.4716522,0.9987512142397463,0.8835950866341591,0.867681086063385
7,8,1.0,0.11741682,0.80244637,0.802117,0.17169167,1.3862592,1.3925,0.9984524014871567,0.8955780044198036,0.8815317302942276
8,9,1.0,0.12283533,0.79171383,0.7883439,0.18609224,1.3430985,1.3219544,0.998181905830279,0.9019790664315224,0.8932311683893204
9,10,1.0,0.12649265,0.79289937,0.7883439,0.19468312,1.3424298,1.3219544,0.9980101680848747,0.9020766466856003,0.8932311683893204
10,11,1.0,0.13880669,0.79426813,0.7883439,0.21273938,1.3472711,1.3219544,0.9976239500101656,0.9013690873980522,0.8932311683893204
11,12,1.0,0.17286591,0.79313016,0.7883439,0.26326528,1.3326702,1.3219544,0.9963612935971469,0.9034952968358994,0.8932311683893204
12,13,1.0,0.20860708,0.77259934,0.7936771,0.32408732,1.2992835,1.1716475,0.9944857824593782,0.9082700982689857,0.9161302000284195
13,14,1.0,0.24081482,0.76065856,0.7898941,0.37369004,1.282761,1.1712173,0.9926686682738364,0.9105882421135902,0.9161917865276337
14,15,1.0,0.26628783,0.7544602,0.7911962,0.41179052,1.2692966,1.1585932,0.9910974903032184,0.9124554023146629,0.917988732457161
15,16,1.0,0.28448135,0.7610996,0.7911962,0.4395738,1.2661027,1.1585932,0.9898556703701615,0.9128954261541367,0.917988732457161
16,17,1.0,0.29409605,0.7518711,0.79506963,0.4547989,1.259186,1.1499215,0.9891407797113061,0.9138445183634758,0.9192117750644684
17,18,1.0,0.30013415,0.76171243,0.79506963,0.46219832,1.2650752,1.1499215,0.9887845553457737,0.9130367487668991,0.9192117750644684
18,19,1.0,0.29881692,0.7640519,0.79506963,0.46206063,1.2692567,1.1499215,0.988791236653924,0.9124609157443047,0.9192117750644684
19,20,1.0,0.2951747,0.7568866,0.79506963,0.45877296,1.2671144,1.1499215,0.9889501752331853,0.912756159901619,0.9192117750644684
20,21,1.0,0.29344112,0.76033777,0.79506963,0.45471945,1.2616104,1.1499215,0.9891445739194751,0.9135124459862709,0.9192117750644684
21,22,1.0,0.28623396,0.75183594,0.7923841,0.4469743,1.2591796,1.1231229,0.9895112216472626,0.9138453975319862,0.9229334071278572
22,23,1.0,0.28234398,0.7587771,0.7923841,0.4371237,1.2703005,1.1231229,0.9899684395641088,0.9123168736696243,0.9229334071278572
23,24,0.7,0.27655464,0.7565214,0.7923841,0.42853093,1.2699726,1.1231229,0.990358954295516,0.91236212849617,0.9229334071278572
24,25,0.7,0.26972005,0.7601475,0.7923841,0.4187527,1.2794341,1.1231229,0.990793913602829,0.9110514372587204,0.9229334071278572
25,26,0.7,0.26119658,0.75120133,0.7895876,0.40835485,1.2824793,1.114814,0.9912454215809703,0.9106275215744972,0.9240694642066956
26,27,0.7,0.2537984,0.7556618,0.7895876,0.39651206,1.2867421,1.114814,0.9917458454146981,0.9100323989987373,0.9240694642066956
27,28,0.7,0.2495177,0.75716794,0.7895876,0.38789222,1.3013153,1.114814,0.9921008218079805,0.9079829752445221,0.9240694642066956
28,29,0.7,0.24584287,0.7674951,0.7895876,0.38145435,1.3118838,1.114814,0.992360851727426,0.9064822942018509,0.9240694642066956
29,30,0.7,0.24026327,0.76990455,0.7895876,0.37530777,1.3193144,1.114814,0.9926050552166998,0.9054199233651161,0.9240694642066956
30,31,0.7,0.23795258,0.7719571,0.7895876,0.37241462,1.3177016,1.114814,0.992718628142029,0.9056510254740715,0.9240694642066956
31,32,0.7,0.2397934,0.76803195,0.7895876,0.37168038,1.3215362,1.114814,0.9927473105490208,0.9051010981202126,0.9240694642066956
32,33,0.48999999999999994,0.23720218,0.77384573,0.7895876,0.37051305,1.3264438,1.114814,0.9927927954122424,0.9043949618935585,0.9240694642066956
33,34,0.48999999999999994,0.23587942,0.7683167,0.7895876,0.37053436,1.3186023,1.114814,0.992791966535151,0.9055219888687134,0.9240694642066956
34,35,0.48999999999999994,0.23938885,0.77056384,0.7895876,0.37363845,1.315461,1.114814,0.9926706934347749,0.9059715792536736,0.9240694642066956
35,36,0.48999999999999994,0.24069548,0.7634088,0.7895876,0.37595654,1.3088945,1.114814,0.992579466663301,0.9069079905748367,0.9240694642066956
36,37,0.48999999999999994,0.24257405,0.7642034,0.7895876,0.37846285,1.3064798,1.114814,0.9924801993183792,0.907251164317131,0.9240694642066956
37,38,0.48999999999999994,0.24503085,0.76970774,0.7895876,0.38143647,1.3060879,1.114814,0.9923615683801472,0.9073067903518677,0.9240694642066956
38,39,0.3429999999999999,0.24485141,0.7668991,0.7895876,0.38289765,1.3049814,1.114814,0.9923029346391559,0.9074637964367867,0.9240694642066956
39,40,0.3429999999999999,0.24526107,0.76563776,0.7895876,0.3843335,1.3030784,1.114814,0.992245099041611,0.9077334627509117,0.9240694642066956
40,41,0.3429999999999999,0.24866052,0.7641887,0.7895876,0.38727602,1.2983177,1.114814,0.9921258976683021,0.9084064215421677,0.9240694642066956
41,42,0.3429999999999999,0.24903183,0.7616701,0.7895876,0.3889664,1.2955755,1.114814,0.9920570105314255,0.9087929204106331,0.9240694642066956
