,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.16904457,2.5348258,2.1417832,0.23329946,4.0203185,3.4724984,0.9971424932591617,0.12173819541931152,0.26329147815704346
1,2,1.0,0.16861822,1.2720449,1.2183475,0.2484734,2.0787463,2.1107461,0.9967586970888078,0.7651956677436829,0.7278027832508087
2,3,1.0,0.18694632,0.9351592,0.9754441,0.2853391,1.465319,1.7324774,0.9957255297340453,0.8833277598023415,0.8166221976280212
3,4,1.0,0.2066349,0.82881606,0.9258585,0.31687155,1.2418581,1.6048584,0.9947285959497094,0.9161994159221649,0.8426433950662613
4,5,1.0,0.21567133,0.7690063,0.9174715,0.3351903,1.1249985,1.5321937,0.9941014852374792,0.9312287420034409,0.8565703630447388
5,6,1.0,0.22226445,0.77016866,0.9174715,0.3411083,1.0880309,1.5321937,0.9938913630321622,0.9356741458177567,0.8565703630447388
6,7,1.0,0.21260722,0.7707809,0.9174715,0.3294743,1.0776772,1.5321937,0.9943009442649782,0.9368925616145134,0.8565703630447388
7,8,1.0,0.20035636,0.7840477,0.9174715,0.30817202,1.0984688,1.5321937,0.9950140696018934,0.9344340190291405,0.8565703630447388
8,9,1.0,0.17939052,0.8119928,0.9174715,0.27769533,1.1381137,1.5321937,0.9959514737129211,0.9296159148216248,0.8565703630447388
9,10,1.0,0.3383324,0.860767,0.9174715,0.46578166,1.2339678,1.5321937,0.988609978929162,0.9172609150409698,0.8565703630447388
10,11,1.0,0.41762903,0.9424061,0.9174715,0.56014055,1.3571733,1.5321937,0.9835277162492275,0.8999139070510864,0.8565703630447388
11,12,0.7,0.45267898,0.96118337,0.9174715,0.5901566,1.4009757,1.5321937,0.9817150253802538,0.8933491557836533,0.8565703630447388
12,13,0.7,0.4035807,0.9175962,0.9174715,0.5998413,1.3190714,1.5321937,0.9811099767684937,0.9054547473788261,0.8565703630447388
13,14,0.7,0.386928,0.84463704,0.9174715,0.49682522,1.2517607,1.5321937,0.987041131593287,0.9148576259613037,0.8565703630447388
14,15,0.7,0.2765214,0.78712285,0.9174715,0.39079472,1.1784434,1.5321937,0.9919821629300714,0.9245393499732018,0.8565703630447388
15,16,0.7,0.25387833,0.7707096,0.9174715,0.39525053,1.1464778,1.5321937,0.9917982844635844,0.9285775944590569,0.8565703630447388
16,17,0.7,0.28229403,0.7663629,0.87207776,0.4364939,1.1324012,1.2386765,0.9899973254650831,0.9303206950426102,0.9062594622373581
17,18,0.7,0.30977634,0.78064674,0.87207776,0.4729801,1.1455135,1.2386765,0.9882552018389106,0.9286976903676987,0.9062594622373581
18,19,0.7,0.3315011,0.78223836,0.87207776,0.5025493,1.1368465,1.2386765,0.986740805208683,0.9297725707292557,0.9062594622373581
19,20,0.7,0.34759942,0.79262316,0.87207776,0.52428126,1.1420459,1.2386765,0.9855692628771067,0.9291287362575531,0.9062594622373581
20,21,0.7,0.35648635,0.7955806,0.87207776,0.53859633,1.1534518,1.2386765,0.9847704656422138,0.9277060404419899,0.9062594622373581
21,22,0.7,0.36034223,0.7946387,0.87207776,0.5455311,1.1427372,1.2386765,0.9843757636845112,0.9290429055690765,0.9062594622373581
22,23,0.7,0.36173624,0.8018319,0.87207776,0.5482718,1.1621814,1.2386765,0.9842183794826269,0.9266076236963272,0.9062594622373581
23,24,0.48999999999999994,0.35975412,0.80172336,0.87207776,0.5448806,1.1601958,1.2386765,0.984413000755012,0.9268581867218018,0.9062594622373581
24,25,0.48999999999999994,0.35692614,0.79859066,0.87207776,0.5408255,1.1590803,1.2386765,0.9846441438421607,0.9269987717270851,0.9062594622373581
25,26,0.48999999999999994,0.3511115,0.7947122,0.87207776,0.53394127,1.1585441,1.2386765,0.9850325873121619,0.9270663037896156,0.9062594622373581
26,27,0.48999999999999994,0.34530744,0.79319715,0.87207776,0.5256612,1.1567899,1.2386765,0.9854932017624378,0.9272869974374771,0.9062594622373581
27,28,0.48999999999999994,0.3386185,0.80063474,0.87207776,0.5190278,1.1776953,1.2386765,0.9858570145443082,0.9246351271867752,0.9062594622373581
28,29,0.48999999999999994,0.33197963,0.79256004,0.87207776,0.5095085,1.1727614,1.2386765,0.986371043138206,0.9252652749419212,0.9062594622373581
29,30,0.3429999999999999,0.32977614,0.7839279,0.87207776,0.50683,1.1632438,1.2386765,0.9865139620378613,0.9264733791351318,0.9062594622373581
