,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,nfeatures,accumulated_relevance
0,0.009391337,0.017438538,0.018122831,0.9299384281039238,0.7575020641088486,0.7602287083864212,24,50.0
1,0.0104398485,0.017724467,0.018304205,0.9183546379208564,0.743602842092514,0.7608924508094788,26,51.0
2,0.00982175,0.01686333,0.017183192,0.9236659035086632,0.786290168762207,0.7825916260480881,28,52.0
3,0.012317307,0.017553791,0.01782586,0.8840814158320427,0.7800780981779099,0.7858552187681198,30,53.0
4,0.011463954,0.01767191,0.018018503,0.8987406268715858,0.7551780045032501,0.7686174511909485,34,54.0
5,0.011274127,0.017461868,0.017779054,0.9019294753670692,0.7677352130413055,0.7737925797700882,35,55.00000000000001
6,0.012804268,0.017923553,0.018207973,0.8769984766840935,0.7580798715353012,0.772563099861145,38,56.00000000000001
7,0.012514881,0.017786913,0.018199448,0.8806907013058662,0.7577039301395416,0.7708993703126907,41,57.00000000000001
8,0.010340323,0.01780549,0.017975148,0.9158246591687202,0.7641540169715881,0.7506977915763855,45,57.99999999999999
9,0.010221751,0.017695632,0.018125227,0.917276106774807,0.7624888569116592,0.7504207938909531,47,59.0
10,0.008651138,0.016799394,0.018197833,0.9391629621386528,0.7813306748867035,0.75578773021698,52,60.0
11,0.008761768,0.016891368,0.018764416,0.9389314390718936,0.7884407490491867,0.7547910064458847,57,61.0
12,0.009005726,0.01742844,0.018317908,0.9326425045728683,0.7510676383972168,0.7635694295167923,61,62.0
13,0.008517608,0.016871717,0.018279372,0.9374476000666618,0.7584160566329956,0.7669111639261246,68,63.0
14,0.008187555,0.016995879,0.018441068,0.9426334090530872,0.7555728405714035,0.7608082145452499,74,64.0
15,0.008143166,0.016210373,0.018770562,0.9420719780027866,0.7742510288953781,0.7551241666078568,85,65.0
16,0.008203826,0.01623626,0.018682279,0.9415210001170636,0.7736934125423431,0.7565067857503891,91,66.0
17,0.00840144,0.0167543,0.018935854,0.9390263147652148,0.7596819549798965,0.7300535440444946,93,67.0
18,0.008319354,0.016707035,0.018874586,0.9397989958524704,0.7675126791000366,0.7347148358821869,102,68.0
19,0.00999726,0.017041499,0.018435694,0.9172625318169594,0.7641000598669052,0.762438490986824,115,69.0
20,0.006500138,0.01781613,0.020303387,0.9630781374871732,0.7199195027351379,0.678945928812027,125,70.0
21,0.0065087434,0.017812228,0.020300012,0.9628371000289916,0.7200820446014404,0.6802607178688049,138,71.0
22,0.008435313,0.01760702,0.019001506,0.9399480186402798,0.7382954955101013,0.7563934624195099,148,72.0
23,0.006995682,0.017341021,0.019828333,0.9564888514578342,0.7561894208192825,0.7195034325122833,149,73.0
24,0.01033582,0.018308662,0.018738745,0.9125244542956352,0.7107203900814056,0.7533208429813385,149,74.0
25,0.0060559264,0.017785387,0.019999696,0.9677842333912848,0.7416741251945496,0.7071675062179565,149,75.0
26,0.00874164,0.017669052,0.019627323,0.9372092187404631,0.7512553781270981,0.7270483076572418,159,76.0
27,0.011578492,0.019347657,0.020422814,0.8964546099305153,0.6765283346176147,0.6882191002368927,170,77.0
28,0.010668425,0.018107038,0.019802686,0.9097228720784188,0.7394508421421051,0.7344950139522552,182,78.0
29,0.010599098,0.017813712,0.019349577,0.9099090099334716,0.7425832450389862,0.7481375932693481,196,79.0
30,0.009060689,0.017611613,0.0194732,0.9332966208457948,0.7485660016536713,0.7388648390769958,208,80.0
31,0.0052285073,0.017452473,0.02012781,0.9745734371244908,0.7528943121433258,0.7111512422561646,223,81.0
32,0.009585836,0.017566437,0.019915933,0.9265733510255814,0.747809112071991,0.7343609035015106,239,82.0
33,0.009222634,0.017470073,0.019928772,0.9315927103161812,0.7490709125995636,0.7338064312934875,257,83.0
34,0.009417247,0.01757502,0.019889206,0.9290496706962584,0.7478302419185638,0.7348589301109314,276,84.00000000000001
35,0.0060778903,0.01785807,0.020115092,0.9669644087553024,0.7433756589889526,0.7151817381381989,296,85.00000000000001
36,0.0059589306,0.017682927,0.020055763,0.9677933230996132,0.7440939545631409,0.7190669178962708,318,86.0
37,0.00917675,0.017776104,0.019920979,0.9308676347136496,0.7448612153530121,0.7306954562664032,343,87.0
38,0.009073895,0.018015383,0.020139668,0.9327988848090172,0.7364062368869781,0.7258097231388092,369,88.0
39,0.009195479,0.018009152,0.02008588,0.9311693459749222,0.7373515367507935,0.727047860622406,398,89.0
40,0.009092412,0.018029546,0.020123063,0.9324780702590942,0.7357179820537567,0.7261305451393127,429,90.0
41,0.009127039,0.018768743,0.020506674,0.9325420930981636,0.7107985019683838,0.7143212556838989,465,91.0
42,0.008546041,0.017985102,0.020361144,0.9393335916101933,0.7315458357334137,0.7220237255096436,503,92.0
43,0.009205685,0.018427573,0.020627266,0.9312542155385016,0.721797913312912,0.7161307632923126,548,93.0
44,0.006633836,0.01938621,0.021708269,0.9611625149846076,0.6811016201972961,0.6884890496730804,604,94.0
45,0.007103598,0.019325903,0.021642819,0.9565307088196278,0.6842658221721649,0.6909666061401367,657,95.0
46,0.041066915,0.03863196,0.04497671,0.0122766494750976,-0.0377117395401001,-0.0986263751983642,729,96.0
