,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,3.3197176000365007,3.4628889970891037,0.055846667260707084,0.06884590127418866,16.396720543075176,17.75729012307549,3.3629014313288432,3.4557243474432124,0.05732500692078957,0.06445175976935413,16.894261075775947,17.71318434444372,3.255777156868979,3.4744886676545765,0.05776803343434744,0.06744603540220973,16.370285671040474,17.7730269843123,3.7451596634737765,3.369025519444552,0.05470621412392296,0.06194317714875852,20.362680882743344,16.89330057255766,3.552623032825276,3.4056846484245042,0.06321871413997937,0.06666304013409707,18.11638654966013,17.33946629728459
1,2,3.2314197438223204,3.348826910573205,0.10555603887562826,0.12893963976059009,15.533438439969153,16.61129081926157,3.2600134093570046,3.345308820436068,0.11217686938972626,0.1233390634446051,15.911226952832042,16.5982427297924,3.162504292116314,3.358000669416982,0.11252730237783204,0.1283773080402525,15.418901184469124,16.6117717713215,3.6355647578344388,3.2636657151860806,0.10783838608845131,0.1187763346673738,19.218154727503634,15.869802220366967,3.4417363923713604,3.2929343020961372,0.11957640021644456,0.12702484387801327,17.026486867186964,16.218069088487333
2,3,3.1478223336830453,3.2386367772790963,0.15143683961948007,0.1868942750775231,14.736645544151262,15.506084629751093,3.156314136449237,3.236434896124435,0.16438802597349267,0.17818325912727895,14.97551855187709,15.559851221396805,3.078971985424812,3.251729966138868,0.16024103173345927,0.18226450516426607,14.58992551000828,15.58476567306624,3.5385125653519403,3.1675694335204723,0.15661136307866763,0.17109221378123984,18.167530486667513,14.927654741601406,3.3362029503014234,3.189354589081149,0.16939869707148492,0.18146575299254164,16.062974890334022,15.206669830366746
3,4,3.0685586692073943,3.1365300983263777,0.1931830090628207,0.23635298281136052,14.011657080550373,14.562897434909825,3.065254124152643,3.13425909242519,0.20982775416998378,0.2288166807219163,14.161165103445992,14.601184322002458,2.993498131617095,3.1454675942711776,0.20617409339115977,0.23411548869197307,13.791887056884242,14.596566636457636,3.4351330499850197,3.0681477383755995,0.20382392888343726,0.22052829106071015,17.15051924053194,14.03736910829418,3.237032456662118,3.090356308941203,0.21675238583938228,0.23103795468068844,15.147203254819395,14.285721065434828
4,5,2.986355879121419,3.0327556104816233,0.23443781450557177,0.2840331876902302,13.295201932379529,13.653626636101816,2.9679181875714886,3.0335684158124834,0.25536956627661866,0.27618357965728635,13.344982146178584,13.704364065614614,2.9114450362980335,3.045292076966405,0.2483097597180126,0.2803698768690046,13.059824338587411,13.71502999576811,3.3384083363231327,2.9748646905229514,0.24521531834452603,0.2651846993835838,16.258902615644924,13.233159693776866,3.1436084726540825,2.9935375688542614,0.2614048366151559,0.27957802194855585,14.283670783735783,13.383947218848874
5,6,2.913608286431805,2.9371377733096837,0.2693935429321851,0.32651012488746767,12.688140250218341,12.843583165978933,2.8956745850125167,2.940890454735933,0.2921563008859851,0.3192582008747795,12.685704342928638,12.888811565612649,2.8397496683045924,2.953836716234758,0.28478579946586235,0.3219470408565399,12.426091657030252,12.922633967726608,3.2470838521670173,2.8867726611422344,0.28535119425570843,0.30720696558449656,15.394331150836909,12.476388082101666,3.0509165978899992,2.9020186520468823,0.3022638133301011,0.3220835706911368,13.493500199241296,12.59428221943059
6,7,2.8399827095294006,2.8390982680072705,0.3036776556628983,0.36791628643154983,12.092742240149551,12.053959596231103,2.814612981173285,2.847282269009495,0.32903371290073524,0.36001337232060193,12.024801453862825,12.117174322586797,2.765893232448497,2.8569395783929084,0.32272084436035575,0.36418600394346134,11.767010301374151,12.117625078984167,3.1515547712574796,2.8054317431345464,0.3261487405520084,0.34508958172650595,14.515506569058255,11.794166701293827,2.9626935720498366,2.8171395957386003,0.3397302737495954,0.36148514942947874,12.768937390555424,11.862282549459907
7,8,2.7746431710510526,2.7492689961462897,0.3356285153475119,0.4053802986906556,11.53786487098363,11.339513581581395,2.746689993400377,2.76615227102022,0.36070196853116576,0.3950035275834157,11.457255075351911,11.454688900928446,2.6944645027008867,2.7697375304175167,0.3573053696171796,0.4003092931395965,11.166140687158965,11.429171415155789,3.06283928336983,2.7228256416769216,0.3610467858925521,0.3812367143148586,13.763763807899176,11.1431993390022,2.879694708539136,2.736057170758606,0.3748239485542344,0.39747330125410885,12.090261815151251,11.193697276940117
8,9,2.7121942540217625,2.6691188317256733,0.36417678053955493,0.43826984491016174,11.042078953472299,10.712303525764364,2.6734254204781487,2.6854773103021725,0.39343578374098154,0.42876169828538324,10.870612145157661,10.815529234904458,2.6308402274867855,2.6862504105264704,0.3879447309522568,0.434755118363676,10.63381413103326,10.772687603552978,2.974605979832443,2.6410467691962336,0.39631750508852037,0.41724262217754793,13.003993236862646,10.49477526799186,2.8004637733693976,2.6592585458139815,0.40608174372390393,0.4302956687216748,11.48576820652418,10.583925716428126
9,10,2.6504224747406577,2.5916304453228416,0.3896486145993979,0.4691043294477395,10.599720143397374,10.12428389670565,2.6068448193424865,2.609491367236436,0.42383884614495937,0.46048434659984383,10.325740076282539,10.2149090922708,2.5663507540287416,2.6081759110482023,0.41745975914308764,0.46550867695939413,10.121021676290058,10.186572646633495,2.898801417311573,2.566746398688033,0.4251671166279738,0.4476211760191966,12.38254047567205,9.94769322721875,2.725720595389757,2.586883489482309,0.4354315944276351,0.4602775912209136,10.91817228146739,10.026923736373632
