,run,best_mae,best_mae_train,best_mse,best_mse_train,best_r2,best_r2_train
0,1,0.02000511763798362,0.0019628531229236874,0.0008552510704170034,7.402076568833396e-06,0.7018793234667453,0.9972688448626896
1,2,0.020464851647368634,0.002013290737408235,0.0009139379932003155,7.569522732338515e-06,0.6634639733159685,0.9972417292404576
2,3,0.019366339607655086,0.002129763952417281,0.0007939603727169437,8.831221903919828e-06,0.6963826286516797,0.9968161091996927
3,4,0.018506428682897445,0.0021862345520683346,0.0006910751028979538,8.875009335535356e-06,0.7385849689430961,0.9967891063326282
4,5,0.01904052309944464,0.0019633346367817226,0.0007428826921175762,7.432961900947032e-06,0.7387216655478256,0.9972635636784145
